,Paid up equity capital (net of forfeited equity capital),Reserves and Funds,Date,Total income,Total expenses,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Net cash flow from operating activities,Net cash inflow or (outflow) from investing activities,Months,Company,Equity,D/E,ROE,Net income margin ratio,ROA,Liabilities to equity ratio,Investing cash flow to operating cash flow
996,161.02,13952.5,3/31/2018,11779.74,10523.27,17760.26,17760.26,2881.03,1468.52,11464.58,1116.53,-592.16,12.0,Cipla Ltd.,14113.52,1.2583862849239593,10.405058412075796,0.128091914400702,0.08268572644769841,1.2583862849239593,-0.5303574467322866
997,161.14,15620.77,3/31/2019,12974.38,10949.27,18966.5,18966.5,2462.99,1888.41,12447.24,1468.05,-1147.05,12.0,Cipla Ltd.,15781.91,1.2017873628730615,11.965661950929894,0.1517131508671802,0.0995655497851475,1.2017873628730615,-0.7813425973229795
998,161.25,17241.71,3/31/2020,13573.26,11298.17,20813.69,20813.69,2785.81,2318.17,12668.31,2018.14,-1126.33,12.0,Cipla Ltd.,17402.96,1.1959856254338341,13.320550067344866,0.18298968054933926,0.1113771753110573,1.1959856254338341,-0.5581030057379567
999,161.29,19766.27,3/31/2021,14130.9,11672.55,23287.02,23287.02,2790.29,2468.28,13916.49,3460.31,-3360.45,12.0,Cipla Ltd.,19927.56,1.1685836098348217,12.386263044748077,0.17736368868874267,0.10599381114457754,1.1685836098348217,-0.9711413139285208
1000,40.82,1202.28,3/31/2012,1913.2,1632.95,18350.66,18350.66,418.1,280.25,,735.69,-1012.22,12.0,City Union Bank Ltd.,1243.1,14.762014319041107,22.544445338267234,,0.015271930273897505,14.762014319041107,-1.3758784270548736
1001,47.44,1593.22,3/31/2013,2462.39,2140.37,22977.08,22977.08,554.91,322.02,,1153.85,-731.8,12.0,City Union Bank Ltd.,1640.66,14.004778564723953,19.62746699498982,,0.014014835653616558,14.004778564723953,-0.6342245525848247
1002,54.27,1970.65,3/31/2014,2825.78,2478.71,24993.83,24993.83,647.03,347.07,,1249.04,-743.89,12.0,City Union Bank Ltd.,2024.92,12.343119728186792,17.13993639254884,,0.013886227120853425,12.343119728186792,-0.5955693972971242
1003,59.66,2635.86,3/31/2015,3124.91,2729.89,27871.14,27871.14,931.84,395.02,,618.07,-415.57,12.0,City Union Bank Ltd.,2695.52,10.339800854751587,14.654686294295718,,0.014173083698765103,10.339800854751587,-0.6723672075978449
1004,59.82,2992.18,3/31/2016,3365.11,2920.42,31803.97,31803.97,929.29,444.69,,663.17,-970.43,12.0,City Union Bank Ltd.,3052.0,10.420697903014418,14.570445609436437,,0.013982216685526995,10.420697903014418,-1.463320113997919
1005,60.11,3510.08,3/31/2017,3665.43,3162.66,35270.77,35270.77,1053.85,502.77,,283.61,-50.32,12.0,City Union Bank Ltd.,3570.19,9.879241721028851,14.082443791506893,,0.014254579642009517,9.879241721028851,-0.17742674799901273
1006,66.47,4096.77,3/31/2018,3935.35,3343.35,39937.24,39937.24,1185.51,592.0,,-183.11,-60.53,12.0,City Union Bank Ltd.,4163.240000000001,9.592826740711558,14.21969427657305,,0.014823257691317678,9.592826740711558,0.3305663262519797
1007,73.45,4767.3,3/31/2019,4287.31,3604.46,45258.9,45258.9,1489.28,682.85,,418.6,-86.69,12.0,City Union Bank Ltd.,4840.75,9.349563600681712,14.106285183081136,,0.015087640221039398,9.349563600681712,-0.20709507883420925
1008,73.73,5222.34,3/31/2020,4880.23,4403.91,49733.53,49733.53,1572.57,476.32,,1836.23,-59.59,12.0,City Union Bank Ltd.,5296.07,9.390648159861936,8.993838827659001,,0.009577442019498717,9.390648159861936,-0.0324523616322574
1009,73.88,5768.59,3/31/2021,4839.47,4246.65,53311.69,53311.69,1586.15,592.82,,921.8,-37.96,12.0,City Union Bank Ltd.,5842.47,9.124854727538182,10.146735883966883,,0.011119887589382366,9.124854727538182,-0.04118029941418963
1010,6316.36,13248.39,3/31/2012,9624.32,1542.16,30722.97,30722.97,7871.31,8065.1,675.33,9288.35,-2984.07,12.0,Coal India Ltd.,19564.75,1.5703226465965576,41.22260698450019,11.942457761390727,0.26251042786553513,1.5703226465965576,-0.3212701933066691
1011,6316.36,14199.8,3/31/2013,11556.28,1759.42,34047.89,34047.89,10149.58,9794.32,638.43,10542.98,-3354.46,12.0,Coal India Ltd.,20516.16,1.659564460405846,47.73953800321308,15.341259026048276,0.2876630534226937,1.659564460405846,-0.31817000506498166
1012,6316.36,10128.88,3/31/2014,16518.79,1535.28,25052.37,25052.37,5899.75,15008.54,608.19,13620.25,8875.14,12.0,Coal India Ltd.,16445.239999999998,1.5233812337186932,91.26373345721926,24.677387000772786,0.5990866333205203,1.5233812337186932,0.6516135900589196
1013,6316.36,10417.83,3/31/2015,14641.71,1276.55,23512.23,23512.23,3683.7,13383.39,719.22,12604.96,257.73,12.0,Coal India Ltd.,16734.19,1.4050414152104167,79.97632392126539,18.60820055059648,0.5692097261722942,1.4050414152104167,0.020446713039946184
1014,6316.36,9729.45,3/31/2016,17590.09,1091.64,21389.54,21389.54,1993.35,16593.0,215.0,-782.52,18340.45,12.0,Coal India Ltd.,16045.810000000001,1.3330296195704672,103.41017374629264,77.1767441860465,0.7757530082460866,1.3330296195704672,-23.43767571435874
1015,6207.41,7710.03,3/31/2017,15673.89,1091.31,19016.7,19016.7,1373.82,14499.09,418.95,-744.09,17667.3,12.0,Coal India Ltd.,13917.439999999999,1.3663935321438427,104.17928871976456,34.608163265306125,0.7624398554954329,1.3663935321438427,-23.74349877031004
1016,6207.41,6487.3,3/31/2018,10443.63,1108.12,18580.1,18580.1,1899.35,9293.42,1146.59,491.26,9413.99,12.0,Coal India Ltd.,12694.71,1.4636096452774423,73.20702875449696,8.105268666218963,0.500181376849425,1.4636096452774423,19.162948336929528
1017,6162.73,7834.66,3/31/2019,11738.55,1278.29,19136.18,19136.18,825.62,10469.67,1157.38,-933.23,9623.22,12.0,Coal India Ltd.,13997.39,1.3671248711366906,74.79730149692193,9.046009089495238,0.5471138962948718,1.3671248711366906,-10.311734513463989
1018,6162.73,10650.57,3/31/2020,12722.52,1425.96,22472.79,22472.79,742.29,11280.88,1033.6,-2050.65,10439.2,12.0,Coal India Ltd.,16813.3,1.3366079234891426,67.0949783802109,10.914164086687308,0.501979504992482,1.3366079234891426,-5.090678565332944
1019,6162.73,10588.98,3/31/2021,8452.7,798.39,22572.82,22572.82,584.54,7640.1,764.83,414.62,6453.54,12.0,Coal India Ltd.,16751.71,1.347493479770125,45.607881225259995,9.989278663232351,0.33846457819625553,1.347493479770125,15.564951039506054
1020,113.28,898.42,3/31/2012,1507.54,1318.21,2682.9,2682.9,1575.07,172.33,1426.43,263.7,25.64,12.0,Cochin Shipyard Ltd.,1011.6999999999999,2.651873084906593,17.033705643965604,0.12081209733390352,0.06423273323642327,2.651873084906593,0.09723170269245356
1021,113.28,1062.43,3/31/2013,1653.76,1521.53,2461.08,2461.08,1225.86,185.27,1571.42,-24.56,-102.97,12.0,Cochin Shipyard Ltd.,1175.71,2.0932712998953824,15.758137635981662,0.11789973399854908,0.07527995839225056,2.0932712998953824,4.192589576547231
1022,113.28,1239.25,3/31/2014,1735.99,1501.54,2786.03,2786.03,1224.52,194.24,1660.2,-439.37,22.44,12.0,Cochin Shipyard Ltd.,1352.53,2.059865585236557,14.361234131590429,0.1169979520539694,0.06971927796900966,2.059865585236557,-0.05107312743246011
1023,113.28,1447.79,3/31/2015,1960.59,1744.74,3098.53,3098.53,1309.25,235.07,1872.76,663.86,15.09,12.0,Cochin Shipyard Ltd.,1561.07,1.9848757582939909,15.05826132076076,0.12552062196971314,0.07586500695491087,1.9848757582939909,0.02273069623113307
1024,113.28,1701.05,3/31/2016,2109.07,1852.82,3440.05,3440.05,1386.08,272.69,2000.92,31.95,54.11,12.0,Cochin Shipyard Ltd.,1814.33,1.8960442697855409,15.029790611410274,0.13628231013733683,0.07926919666865306,1.8960442697855409,1.6935837245696401
1025,113.28,1915.3,3/31/2017,2221.8,1914.21,3421.94,3421.94,1205.6,321.55,2068.07,212.28,66.98,12.0,Cochin Shipyard Ltd.,2028.58,1.6868647033885773,15.850989362016781,0.15548313161546756,0.09396716482463165,1.6868647033885773,0.3155266628980592
1026,135.94,3119.94,3/31/2018,2544.75,2122.89,5613.88,5613.88,2170.01,396.75,2364.78,632.07,-1328.33,12.0,Cochin Shipyard Ltd.,3255.88,1.724228165657211,12.185645662616558,0.16777459213964935,0.07067304609289832,1.724228165657211,-2.1015552074928405
1027,131.54,3200.54,3/31/2019,3199.27,2718.09,5419.12,5419.12,1897.44,481.18,2974.42,-448.5,1043.71,12.0,Cochin Shipyard Ltd.,3332.08,1.626347506662505,14.440829751986747,0.16177271535290913,0.08879301436395577,1.626347506662505,-2.32711259754738
1028,131.54,3600.26,3/31/2020,3702.6,3064.91,6572.72,6572.72,2285.08,637.69,3431.43,252.62,-73.79,12.0,Cochin Shipyard Ltd.,3731.8,1.761273380138271,17.08800042874752,0.18583797425563106,0.09702071592886964,1.761273380138271,-0.2920988045285409
1029,131.54,3846.04,3/31/2021,3023.54,2413.44,7532.34,7532.34,2986.71,610.1,2823.54,748.85,-525.15,12.0,Cochin Shipyard Ltd.,3977.58,1.8936991839259047,15.338472136324096,0.21607627304730942,0.08099740585263013,1.8936991839259047,-0.7012752887761233
1030,59.63,576.54,3/31/2012,858.05,744.93,959.59,959.59,306.5,113.12,827.46,170.28,-109.24,12.0,Coforge Ltd.,636.17,1.5083861232060614,17.781410629234326,0.13670751456263747,0.11788367948811472,1.5083861232060614,-0.641531595019967
1031,60.24,707.65,3/31/2013,1141.2,973.37,1183.22,1183.22,373.46,167.83,1108.31,123.39,-63.29,12.0,Coforge Ltd.,767.89,1.5408717394418472,21.855994999283755,0.15142875188349833,0.14184175385811598,1.5408717394418472,-0.512926493232839
1032,60.7,867.64,3/31/2014,1389.16,1176.39,1456.11,1456.11,479.6,213.83,1308.48,42.69,-21.76,12.0,Coforge Ltd.,928.34,1.5685093823383673,23.033586832410542,0.1634186231352409,0.14685016928666106,1.5685093823383673,-0.509721246193488
1033,61.04,958.8,3/31/2015,1401.13,1257.0,1757.1,1757.1,657.7,147.58,1346.09,273.29,-218.59,12.0,Coforge Ltd.,1019.8399999999999,1.7229173203639787,14.470897395669912,0.10963605702441889,0.08399066643901885,1.7229173203639787,-0.7998463170990523
1034,61.2,1161.9,3/31/2016,1537.5,1337.6,1834.8,1834.8,478.1,191.7,1484.2,372.9,-231.4,12.0,Coforge Ltd.,1223.1000000000001,1.5001226391954867,15.673289183222956,0.1291604904999326,0.10448005232177894,1.5001226391954867,-0.6205417001877179
1035,61.4,1278.0,3/31/2017,1631.4,1466.5,1992.0,1992.0,520.5,164.9,1595.1,239.6,-221.7,12.0,Coforge Ltd.,1339.4,1.4872330894430341,12.311482753471703,0.10337909848912295,0.08278112449799196,1.4872330894430341,-0.9252921535893155
1036,61.5,1412.4,3/31/2018,1761.6,1535.4,2260.4,2260.4,662.2,226.2,1645.9,202.4,-118.9,12.0,Coforge Ltd.,1473.9,1.5336182916073002,15.347038469366984,0.13743240780120297,0.10007078393204742,1.5336182916073002,-0.5874505928853755
1037,61.8,1642.1,3/31/2019,2153.4,1854.4,2543.5,2543.5,740.6,299.0,1999.2,221.4,-71.6,12.0,Coforge Ltd.,1703.8999999999999,1.492751922061154,17.54797816773285,0.14955982392957182,0.11755455081580499,1.492751922061154,-0.3233965672990063
1038,62.5,1912.6,3/31/2020,2515.6,2093.1,2983.0,2983.0,909.8,422.5,2231.0,230.8,203.1,12.0,Coforge Ltd.,1975.1,1.5103032757835047,21.391321958381855,0.18937696100403406,0.14163593697619845,1.5103032757835047,0.8799826689774696
1039,60.6,1744.5,3/31/2021,2518.0,2278.1,2928.6,2928.6,1021.7,239.9,2412.4,457.1,23.7,12.0,Coforge Ltd.,1805.1,1.6224031909589496,13.290122430890255,0.09944453656110097,0.08191627398757086,1.6224031909589496,0.051848610807263176
1040,13.6,421.8,3/31/2012,2856.22,2458.32,1680.41,1680.41,1197.06,446.47,2805.54,402.84,-10.25,12.0,Colgate-Palmolive (India) Ltd.,435.40000000000003,3.8594625631603123,102.54248966467617,0.15913870413538928,0.26569111109788685,3.8594625631603123,-0.025444345149438986
1041,13.6,475.98,3/31/2013,3374.12,2859.17,2048.14,2048.14,1504.68,496.75,3324.21,614.91,-47.26,12.0,Colgate-Palmolive (India) Ltd.,489.58000000000004,4.183463376771926,101.46452060950202,0.1494340008603548,0.24253713125079343,4.183463376771926,-0.07685677578832675
1042,13.6,586.29,3/31/2014,3906.02,3398.5,2419.27,2419.27,1742.83,539.87,3791.3,457.38,-180.37,12.0,Colgate-Palmolive (India) Ltd.,599.89,4.032856023604327,89.99483238593743,0.1423970669691135,0.22315409193682392,4.032856023604327,-0.39435480344571255
1043,13.6,756.72,3/31/2015,4271.52,3733.67,2849.19,2849.19,1982.92,558.98,4239.42,638.15,-271.63,12.0,Colgate-Palmolive (India) Ltd.,770.32,3.69870962716793,72.56464845778378,0.13185294214774662,0.19618909233852427,3.69870962716793,-0.4256522761106323
1044,27.2,1003.83,3/31/2016,4419.71,3872.73,3344.31,3344.31,1849.88,581.17,4351.09,688.74,-236.61,12.0,Colgate-Palmolive (India) Ltd.,1031.03,3.243659253367991,56.36790394071948,0.13356882987940952,0.1737787465874874,3.243659253367991,-0.34354037808171445
1045,27.2,1246.6,3/31/2017,4577.51,3997.5,3937.84,3937.84,1905.15,577.43,4522.18,688.0,-342.1,12.0,Colgate-Palmolive (India) Ltd.,1273.8,3.0914115245721465,45.33129219657717,0.12768841576407836,0.1466362269670682,3.0914115245721465,-0.4972383720930233
1046,27.2,1497.42,3/31/2018,4400.39,3653.48,4539.7,4539.7,1561.84,673.37,4330.39,693.94,-207.35,12.0,Colgate-Palmolive (India) Ltd.,1524.6200000000001,2.977594416969474,44.16641523789534,0.1554986964222622,0.14832918474789084,2.977594416969474,-0.2988010490820532
1047,27.2,1419.56,3/31/2019,4563.25,3812.15,4959.35,4959.35,1847.73,775.57,4464.79,983.01,-95.72,12.0,Colgate-Palmolive (India) Ltd.,1446.76,3.427900964914706,53.60737095302608,0.17370805793777536,0.15638541341103168,3.427900964914706,-0.09737439090141504
1048,27.2,1566.96,3/31/2020,4605.33,3810.43,5175.18,5175.18,1665.28,816.47,4525.05,929.59,-18.67,12.0,Colgate-Palmolive (India) Ltd.,1594.16,3.2463366286947357,51.21631454810056,0.18043336537717816,0.15776649314613211,3.2463366286947357,-0.020084123108036877
1049,27.2,1138.66,3/31/2021,4903.08,3891.48,5783.5,5783.5,2412.16,1035.39,4843.69,783.85,71.35,12.0,Colgate-Palmolive (India) Ltd.,1165.8600000000001,4.960715694851868,88.80911944830426,0.21376058335690357,0.17902481196507308,4.960715694851868,0.09102506857179306
1050,48.76,189.93,3/31/2013,295.86,230.53,299.89,299.89,31.81,65.33,,41.49,-0.49,12.0,Computer Age Mgmt. Services Ltd.,238.69,1.256399514013993,27.370229167539485,,0.21784654373270199,1.256399514013993,-0.011810074716799228
1051,48.76,215.06,3/31/2014,319.7,257.76,344.55,344.55,45.5,61.94,305.49,47.13,-26.67,12.0,Computer Age Mgmt. Services Ltd.,263.82,1.3060040937002502,23.478129027367146,0.20275622769976104,0.17977071542591785,1.3060040937002502,-0.5658816040738384
1052,48.76,232.1,3/31/2015,372.14,302.5,361.2,361.2,48.34,69.64,366.46,69.63,-29.58,12.0,Computer Age Mgmt. Services Ltd.,280.86,1.2860499893185215,24.795271665598516,0.19003438301588169,0.19280177187153932,1.2860499893185215,-0.42481688927186556
1053,48.76,279.65,3/31/2016,391.39,307.43,401.72,401.72,41.22,83.96,383.87,98.95,-46.33,12.0,Computer Age Mgmt. Services Ltd.,328.40999999999997,1.2232270637313116,25.56560397064645,0.21871987912574567,0.20900129443393406,1.2232270637313116,-0.4682162708438605
1054,48.76,312.69,3/31/2017,473.09,365.56,651.21,651.21,247.05,107.53,458.32,101.91,-30.45,12.0,Computer Age Mgmt. Services Ltd.,361.45,1.8016599806335594,29.749619587771477,0.23461773433408972,0.16512338569739407,1.8016599806335594,-0.29879305269355316
1055,48.76,363.99,3/31/2018,650.62,490.62,816.56,816.56,349.24,160.0,606.06,,,12.0,Computer Age Mgmt. Services Ltd.,412.75,1.9783403997577225,38.764385221078136,0.26400026400026405,0.19594396002743217,1.9783403997577225,
1056,48.76,343.4,3/31/2019,667.85,555.72,904.59,904.59,444.49,112.13,651.37,173.22,-43.79,12.0,Computer Age Mgmt. Services Ltd.,392.15999999999997,2.3066860465116283,28.59292125662995,0.17214486390223682,0.12395670966957405,2.3066860465116283,-0.2527999076319132
1057,48.76,440.33,3/31/2020,683.9,519.83,1138.39,1138.39,496.31,164.07,663.15,180.11,-72.15,12.0,Computer Age Mgmt. Services Ltd.,489.09,2.327567523359709,33.545973133779064,0.2474100882153359,0.14412459701859642,2.327567523359709,-0.4005885292321359
1058,48.79,420.92,3/31/2021,734.11,515.14,1259.61,1259.61,642.98,218.97,675.43,239.27,22.71,12.0,Computer Age Mgmt. Services Ltd.,469.71000000000004,2.68167592770007,46.618126077792674,0.32419347674814564,0.17383952175673423,2.68167592770007,0.09491369582480043
1059,48.9,555.66,3/31/2022,911.71,622.3,1461.23,1461.23,718.12,289.41,864.91,305.93,-116.96,12.0,Computer Age Mgmt. Services Ltd.,604.56,2.4170140267301843,47.87117903930132,0.3346128498918963,0.19805916932994808,2.4170140267301843,-0.3823096786846664
1060,129.98,5476.45,3/31/2012,4378.32,3500.44,6517.94,6517.94,605.44,877.88,4054.52,803.98,-108.01,12.0,Container Corpn. Of India Ltd.,5606.429999999999,1.162582962776669,15.658449316231543,0.21651884810039165,0.1346867261742207,1.162582962776669,-0.13434413791387845
1061,129.98,6151.15,3/31/2013,4744.66,3804.63,7275.34,7275.34,659.51,940.03,4393.14,919.57,-505.63,12.0,Container Corpn. Of India Ltd.,6281.129999999999,1.1582852130110348,14.965937657714456,0.21397679108792342,0.1292077071312131,1.1582852130110348,-0.5498548234500907
1062,194.97,6790.34,3/31/2014,5356.46,4371.7,8072.15,8072.15,718.26,984.76,4980.64,745.59,-806.41,12.0,Container Corpn. Of India Ltd.,6985.31,1.1555893725546897,14.097584788649323,0.19771756240161906,0.1219947597604108,1.1555893725546897,-1.0815729824702585
1063,194.97,7440.72,3/31/2015,5944.73,4897.18,8715.16,8715.16,793.34,1047.55,5585.4,1106.44,-761.57,12.0,Container Corpn. Of India Ltd.,7635.6900000000005,1.1413716376647034,13.719126889645858,0.1875514734844416,0.12019859646868215,1.1413716376647034,-0.6883066411192654
1064,194.97,8150.69,3/31/2016,6310.8,5359.98,9460.62,9460.62,676.48,950.82,6003.12,-1045.32,-428.14,12.0,Container Corpn. Of India Ltd.,8345.66,1.1335975824560311,11.392987492900502,0.15838763842801745,0.10050292686948635,1.1335975824560311,0.4095779282899017
1065,194.97,8651.23,3/31/2017,5964.8,5106.78,9984.37,9984.37,773.85,858.02,5686.47,1858.07,-616.49,12.0,Container Corpn. Of India Ltd.,8846.199999999999,1.1286620243720469,9.699305916664784,0.15088798498892986,0.08593631846576198,1.1286620243720469,-0.3317905138127197
1066,243.72,9129.99,3/31/2018,6549.37,5504.91,10793.01,10793.01,1086.79,1044.46,6259.27,1327.88,-754.3,12.0,Container Corpn. Of India Ltd.,9373.71,1.1514128344060144,11.142439866392284,0.16686610419425907,0.09677189217836359,1.1514128344060144,-0.5680483176190619
1067,304.65,10063.22,3/31/2019,7319.89,6104.48,12710.22,12710.22,1999.78,1215.41,6999.87,-2052.1,1509.49,12.0,Container Corpn. Of India Ltd.,10367.869999999999,1.225923936160465,11.722851463222437,0.17363322461702863,0.0956246233346079,1.225923936160465,-0.7355830612543248
1068,304.65,9760.09,3/31/2020,6837.45,6461.67,12671.26,12671.26,2007.84,375.78,6572.99,4268.88,-2881.17,12.0,Container Corpn. Of India Ltd.,10064.74,1.2589753933037515,3.7336284891611706,0.05717032887620398,0.029656087871292987,1.2589753933037515,-0.6749241018721538
1069,304.65,9899.09,3/31/2021,6767.67,6264.34,13366.01,13366.01,2240.84,503.33,6499.33,1024.25,27.5,12.0,Container Corpn. Of India Ltd.,10203.74,1.3099128358817453,4.932799150115546,0.07744336723939237,0.03765746097750937,1.3099128358817453,0.026848913839394677
1070,28.26,2342.93,3/31/2012,10026.14,9591.74,7339.87,7339.87,4551.96,693.27,9838.88,-304.96,-322.2,12.0,Coromandel International Ltd.,2371.19,3.0954373120669367,29.237218443060236,0.07046228839054852,0.09445262654515679,3.0954373120669367,1.056532004197272
1071,28.31,2147.3,3/31/2013,8732.78,8141.59,7400.89,7400.89,4196.35,443.99,8662.72,998.44,-593.55,12.0,Coromandel International Ltd.,2175.61,3.4017539908347545,20.407609819774684,0.05125295519190278,0.05999143346273218,3.4017539908347545,-0.5944773847201634
1072,28.32,2204.74,3/31/2014,9564.55,9343.65,7116.9,7116.9,4391.61,344.85,9497.82,1443.18,-14.62,12.0,Coromandel International Ltd.,2233.06,3.1870617000886674,15.442934806946523,0.03630833180666722,0.048455085781730814,3.1870617000886674,-0.010130406463504205
1073,29.13,2135.4,3/31/2015,11511.23,11515.65,8386.23,8386.23,5887.98,403.14,11454.46,68.92,-203.16,12.0,Coromandel International Ltd.,2164.53,3.8743884353647204,18.624828484705684,0.03519502447081748,0.0480716603288963,3.8743884353647204,-2.9477655252466626
1074,29.13,2473.63,3/31/2016,11715.36,11470.86,9174.51,9174.51,6382.72,357.86,8274.1,18.07,-62.39,12.0,Coromandel International Ltd.,2502.76,3.665757004267289,14.298614329779921,0.04325062544566781,0.039005897862665145,3.665757004267289,-3.4526840066408413
1075,29.17,2782.76,3/31/2017,10238.68,9456.3,8730.35,8730.35,5681.34,476.78,10176.71,916.94,-71.81,12.0,Coromandel International Ltd.,2811.9300000000003,3.1047536745224806,16.955614115571866,0.04685011167656345,0.05461178532361245,3.1047536745224806,-0.07831482975985342
1076,29.24,2897.6,3/31/2018,11167.84,10635.34,10083.46,10083.46,6924.31,684.81,11105.64,260.52,37.0,12.0,Coromandel International Ltd.,2926.8399999999997,3.445169534378374,23.397589208839566,0.06166326299069662,0.06791418818540461,3.445169534378374,0.142023645017657
1077,29.25,3404.68,3/31/2019,13261.04,13314.29,10863.8,10863.8,7209.91,713.91,13192.24,512.64,-596.56,12.0,Coromandel International Ltd.,3433.93,3.163663790467482,20.789882146694893,0.05411590450143418,0.06571457501058561,3.163663790467482,-1.1637016229712858
1078,29.3,4359.74,3/31/2020,13154.88,11893.97,10442.84,10442.84,5505.94,1059.17,13116.52,1866.68,-219.24,12.0,Coromandel International Ltd.,4389.04,2.379299345642783,24.13215646246104,0.08075083939947486,0.10142547429626424,2.379299345642783,-0.11744916107742087
1079,29.34,5170.97,3/31/2021,14205.37,12354.68,9184.41,9184.41,3460.68,1312.18,14128.68,4124.67,-1252.86,12.0,Coromandel International Ltd.,5200.31,1.7661274039432262,25.23272651053495,0.09287350269098034,0.14287036401902792,1.7661274039432262,-0.30374793619853224
1080,24.84,26.0,3/31/2012,63.64,66.54,325.62,325.62,198.14,-2.9,,-79.16,27.1,12.0,Creditaccess Grameen Ltd.,50.84,6.4047993705743504,-5.704169944925256,,-0.008906086849702106,6.4047993705743504,-0.342344618494189
1081,39.62,72.87,3/31/2013,89.24,80.78,541.88,541.88,280.8,8.46,1.2,-104.35,-29.83,12.0,Creditaccess Grameen Ltd.,112.49000000000001,4.817139301271224,7.52066850386701,7.050000000000001,0.015612312689156272,4.817139301271224,0.2858648778150455
1082,52.95,158.11,3/31/2014,152.22,133.71,1063.74,1063.74,477.88,18.51,,-246.38,-21.34,12.0,Creditaccess Grameen Ltd.,211.06,5.039988628825927,8.77001800435895,,0.017400868633312652,5.039988628825927,0.08661417322834646
1083,72.95,307.96,3/31/2015,281.43,231.97,1733.22,1733.22,762.45,49.46,,-616.05,-83.24,12.0,Creditaccess Grameen Ltd.,380.90999999999997,4.550208710719068,12.984694547268386,,0.028536481231465134,4.550208710719068,0.13511890268647025
1084,72.95,391.97,3/31/2016,466.72,382.94,2815.68,2815.68,1215.19,83.78,0.56,-988.27,53.11,12.0,Creditaccess Grameen Ltd.,464.92,6.056267744988385,18.020304568527916,149.60714285714283,0.02975480168200932,6.056267744988385,-0.05374037459398747
1085,85.68,605.12,3/31/2017,709.64,634.38,3565.84,3565.84,1666.69,75.26,0.34,-492.43,62.74,12.0,Creditaccess Grameen Ltd.,690.8,5.161899247249567,10.894614939200927,221.35294117647058,0.021105826397146255,5.161899247249567,-0.1274089718335601
1086,128.43,1309.05,3/31/2018,1002.07,789.59,5177.49,5177.49,116.55,212.48,,-1758.12,86.17,12.0,Creditaccess Grameen Ltd.,1437.48,3.601782285666583,14.781423045885855,,0.041039190804810825,3.601782285666583,-0.04901258162127728
1087,143.55,2221.51,3/31/2019,1283.44,961.68,7747.86,7747.86,516.23,321.76,,-2168.9,1180.82,12.0,Creditaccess Grameen Ltd.,2365.0600000000004,3.2759676287282344,13.60472884408852,,0.041528886686130105,3.2759676287282344,-0.5444326617179215
1088,143.99,2525.09,3/31/2020,1684.39,1356.89,11403.85,11403.85,852.1,327.5,,-3333.79,936.43,12.0,Creditaccess Grameen Ltd.,2669.08,4.272577067753683,12.270145518305933,,0.028718371427193447,4.272577067753683,-0.28089051799903414
1089,155.58,3479.23,3/31/2021,2031.15,1888.76,13794.17,13794.17,1288.17,142.39,,-1507.43,1821.18,12.0,Creditaccess Grameen Ltd.,3634.81,3.7950181715137794,3.9173987085982485,,0.010322476814480319,3.7950181715137794,-1.208135701160253
1090,7.02,447.44,12/31/2012,764.58,571.72,694.44,694.44,217.38,192.86,737.37,148.6,-65.9,12.0,Crisil Ltd.,454.46,1.5280552743915858,42.43717818949963,0.26155118868410704,0.2777201774091354,1.5280552743915858,-0.4434724091520862
1091,7.07,601.77,12/31/2013,938.29,657.11,916.41,916.41,279.62,281.18,789.28,146.36,-73.88,12.0,Crisil Ltd.,608.84,1.5051737730766703,46.18290519676762,0.35624873302250154,0.3068277299462031,1.5051737730766703,-0.5047827275211806
1092,7.14,720.25,12/31/2014,943.92,728.41,1047.23,1047.23,293.76,215.51,903.37,260.03,-134.35,12.0,Crisil Ltd.,727.39,1.4397090969081237,29.627847509589078,0.23856227238008787,0.2057905140227075,1.4397090969081237,-0.5166711533284621
1093,7.12,668.01,12/31/2015,1009.06,787.05,1007.26,1007.26,312.46,222.01,956.1,207.89,49.3,12.0,Crisil Ltd.,675.13,1.4919496985765703,32.88403714840105,0.2322037443782031,0.22040982467287493,1.4919496985765703,0.23714464380201067
1094,7.13,816.3,12/31/2016,1180.83,940.54,1120.8,1120.8,268.09,240.29,1129.64,202.02,10.51,12.0,Crisil Ltd.,823.43,1.3611357370996928,29.181594063854853,0.21271378492263018,0.21439150606709492,1.3611357370996928,0.05202455202455202
1095,7.17,804.53,12/31/2017,1232.97,995.71,1148.4,1148.4,308.12,237.26,1191.15,273.66,-76.38,12.0,Crisil Ltd.,811.6999999999999,1.414808426758655,29.230011087840335,0.19918566091592158,0.20660048763497038,1.414808426758655,-0.2791054593290945
1096,7.21,801.72,12/31/2018,1280.63,1003.1,2205.99,2205.99,319.34,277.53,1228.65,279.42,-79.27,12.0,Crisil Ltd.,808.9300000000001,2.7270468396523797,34.30828378228029,0.22588206568184588,0.12580746059592293,2.7270468396523797,-0.2836947963638966
1097,7.23,751.52,12/31/2019,1354.63,1088.34,2270.91,2270.91,344.53,266.29,888.85,265.34,-17.63,12.0,Crisil Ltd.,758.75,2.992962108731466,35.09588138385503,0.2995893570343703,0.1172613621852033,2.992962108731466,-0.06644305419461823
