,Paid up equity capital (net of forfeited equity capital),Reserves and Funds,Date,Total income,Total expenses,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Net cash flow from operating activities,Net cash inflow or (outflow) from investing activities,Months,Company,Equity,D/E,ROE,Net income margin ratio,ROA,Liabilities to equity ratio,Investing cash flow to operating cash flow
132,2871.92,4915.24,3/31/2014,11473.83,10878.57,40961.14,40961.14,12754.12,595.26,10026.29,3385.89,-30.89,12.0,Adani Power Ltd.,7787.16,5.260087117768224,7.644121862142296,0.05936991648954897,0.014532310380033369,5.260087117768224,-0.00912315521177593
133,2871.92,4844.23,3/31/2015,11513.64,11582.27,40506.15,40506.15,13645.27,-68.63,10629.14,2393.28,-2575.38,12.0,Adani Power Ltd.,7716.15,5.249528586147237,-0.8894332017910487,-0.006456778252991305,-0.0016943106170297594,5.249528586147237,-1.0760880465302847
134,3333.94,5690.26,3/31/2016,13398.96,13302.42,48852.59,48852.59,18536.64,96.54,12706.99,1869.33,-3236.09,12.0,Adani Power Ltd.,9024.2,5.413509230735134,1.069790119899825,0.007597393245764733,0.001976149063949322,5.413509230735134,-1.7311496632483299
135,3856.94,816.38,3/31/2017,11603.33,17657.67,44880.2,44880.2,16533.38,-6054.34,10873.81,659.43,-554.79,12.0,Adani Power Ltd.,4673.32,9.603493875874111,-129.55115421156697,-0.5567818455536744,-0.13490002272717147,9.603493875874111,-0.8413175014785497
136,3856.94,5682.19,3/31/2018,10088.71,10181.01,19904.08,19904.08,7866.05,-23.77,8124.07,-332.53,-3565.04,12.0,Adani Power Ltd.,9539.13,2.086571836215672,-0.24918414991723564,-0.002925873361504763,-0.0011942275151627204,2.086571836215672,10.720957507593301
137,3856.94,5270.89,3/31/2019,3471.63,3626.52,29113.91,29113.91,3372.06,-225.23,2406.2,-167.13,-8285.43,12.0,Adani Power Ltd.,9127.83,3.1895762738788958,-2.4675087068887125,-0.09360402294073643,-0.007736164603105526,3.1895762738788958,49.57476216119189
138,3856.94,3318.44,3/31/2020,1920.11,3260.67,22705.92,22705.92,3419.09,-1340.56,1006.57,94.66,6815.68,12.0,Adani Power Ltd.,7175.38,3.1644205603048197,-18.682773595266035,-1.3318100082458249,-0.05904010936354925,3.1644205603048197,72.00169025987746
139,3856.94,2440.48,3/31/2021,587.53,1086.27,24471.33,24471.33,6164.41,-498.74,448.29,-288.17,390.1,12.0,Adani Power Ltd.,6297.42,3.885929475880599,-7.91975126321573,-1.1125387583930044,-0.02038058413662028,3.885929475880599,-1.3537148211125378
140,256.74,129.08,3/31/2012,1049.72,1010.39,1065.96,1065.96,129.61,41.06,1044.97,105.69,-112.81,12.0,Adani Total Gas Ltd.,385.82000000000005,2.762842776424239,10.642268415323207,0.039292994057245664,0.03851926901572292,2.762842776424239,-1.067366827514429
141,256.74,185.37,3/31/2013,1411.85,1358.69,1197.67,1197.67,228.44,56.29,1408.64,154.04,-127.92,12.0,Adani Total Gas Ltd.,442.11,2.7089864513356403,12.732125489131663,0.03996052930486142,0.046999590872277,2.7089864513356403,-0.8304336535964685
142,256.74,233.08,3/31/2014,1631.6,1589.11,1190.47,1190.47,164.21,47.71,1629.27,159.79,-43.77,12.0,Adani Total Gas Ltd.,489.82000000000005,2.430423420848475,9.740312767955576,0.029283053146501193,0.04007660839836367,2.430423420848475,-0.27392202265473437
143,256.74,328.19,3/31/2015,1429.28,1327.37,1257.98,1257.98,176.45,96.07,1423.78,228.06,-38.38,12.0,Adani Total Gas Ltd.,584.9300000000001,2.1506505051886546,16.424187509616534,0.0674753121971091,0.07636846372756323,2.1506505051886546,-0.16828904674208542
144,256.74,357.24,3/31/2016,1233.16,1152.03,1436.34,1436.34,460.87,81.48,1209.3,269.56,-412.73,12.0,Adani Total Gas Ltd.,613.98,2.33939216261116,13.270790579497705,0.0673778218804267,0.05672751576924684,2.33939216261116,-1.5311247959637928
145,256.74,458.11,3/31/2017,1202.98,1101.38,1663.16,1663.16,332.27,101.19,1166.71,278.76,-303.25,12.0,Adani Total Gas Ltd.,714.85,2.326585997062321,14.155417220395886,0.0867310642747555,0.06084201159239039,2.326585997062321,-1.0878533505524466
146,256.74,768.94,3/31/2018,1538.1,1372.88,2814.86,2814.86,364.79,164.58,1457.84,276.86,-987.65,12.0,Adani Total Gas Ltd.,1025.68,2.744384213399891,16.045940254270338,0.11289304724798334,0.05846827195668701,2.744384213399891,-3.5673264465794983
147,109.98,1001.5,3/31/2019,1910.17,1676.02,2069.85,2069.85,493.12,228.71,1824.22,356.1,791.01,12.0,Adani Total Gas Ltd.,1111.48,1.8622467340842839,20.57706841328679,0.12537413250594776,0.11049592965673842,1.8622467340842839,2.221314237573715
148,109.98,1370.34,3/31/2020,2035.69,1599.11,2497.75,2497.75,591.97,436.24,1990.9,492.4,-460.99,12.0,Adani Total Gas Ltd.,1480.32,1.6873040964115869,29.46930393428448,0.21911698226932544,0.17465318786908218,1.6873040964115869,-0.9362103980503657
149,109.98,1842.44,3/31/2021,1829.26,1358.39,3239.59,3239.59,808.69,471.95,1784.49,653.5,-770.5,12.0,Adani Total Gas Ltd.,1952.42,1.6592690097417564,24.17256532918122,0.2644733229101872,0.14568201531675304,1.6592690097417564,-1.179035960214231
150,,,,,,,,,,,,,,Adani Transmission Ltd.,,,,,,,
151,,,,,,,,,,,,,,Adani Transmission Ltd.,,,,,,,
152,0.05,,3/31/2014,,,0.05,0.05,,,,,,4.0,Adani Transmission Ltd.,,,,,,,
153,1090.0,-17.94,3/31/2015,23.83,41.77,3711.11,3711.11,2631.97,-17.94,22.92,-11.48,-3682.52,12.0,Adani Transmission Ltd.,1072.06,3.4616625935115577,-1.673413801466336,-0.7827225130890052,-0.004834133183872211,3.4616625935115577,320.7770034843205
154,1099.81,1149.05,3/31/2016,421.38,477.92,7620.57,7620.57,2676.4,-56.54,274.46,57.45,-3746.98,12.0,Adani Transmission Ltd.,2248.8599999999997,3.3886369093674134,-2.5141627313394346,-0.20600451796254465,-0.00741939251263357,3.3886369093674134,-65.22158398607485
155,1099.81,1021.18,3/31/2017,1608.3,1604.45,10780.37,10780.37,1656.31,3.85,810.36,-14.91,-2310.88,12.0,Adani Transmission Ltd.,2120.99,5.082706660568886,0.1815190076332279,0.004750974875364035,0.0003571305994135637,5.082706660568886,154.9885982562039
156,1099.81,904.33,3/31/2018,1610.33,1634.96,12247.71,12247.71,1903.36,-24.63,835.29,49.55,-246.11,12.0,Adani Transmission Ltd.,2004.1399999999999,6.111204806051473,-1.2289560609538257,-0.029486765075602484,-0.002010988176565252,6.111204806051473,-4.966902119071645
157,1099.81,650.52,3/31/2019,1631.45,1589.05,12823.55,12823.55,2338.62,42.4,832.83,23.12,-266.5,12.0,Adani Transmission Ltd.,1750.33,7.326361314723509,2.4224003473630686,0.0509107500930562,0.003306416709881429,7.326361314723509,-11.526816608996539
158,1099.81,431.21,3/31/2020,1653.69,1648.15,12956.36,12956.36,781.89,5.54,857.79,-17.35,1971.08,12.0,Adani Transmission Ltd.,1531.02,8.462567438700997,0.361850269754804,0.006458457198148732,0.0004275892303085126,8.462567438700997,-113.60691642651295
159,1099.81,157.1,3/31/2021,1434.72,1455.93,12207.16,12207.16,1183.64,-21.21,755.23,-22.0,190.69,12.0,Adani Transmission Ltd.,1256.9099999999999,9.712039843743785,-1.6874716566818628,-0.02808415979238113,-0.001737504874188591,9.712039843743785,-8.667727272727273
160,110.0,-12.33,3/31/2012,0.5,4.3,695.56,695.56,1.39,-3.8,,-3.9,-52.6,12.0,Aditya Birla Capital Ltd.,97.67,7.1215316883382815,-3.890652196170779,,-0.005463223877163724,7.1215316883382815,13.487179487179487
161,110.0,-11.47,3/31/2013,3.13,2.27,975.79,975.79,0.76,0.86,,2.84,-282.8,12.0,Aditya Birla Capital Ltd.,98.53,9.903481173246726,0.8728306099665076,,0.0008813371729572962,9.903481173246726,-99.5774647887324
162,717.01,-65.86,3/31/2014,3.49,57.88,1529.01,1529.01,1.34,-54.39,,0.29,-607.34,12.0,Aditya Birla Capital Ltd.,651.15,2.3481686247408433,-8.352914075097905,,-0.03557203680813075,2.3481686247408433,-2094.2758620689656
163,757.01,245.57,3/31/2015,5.61,54.17,2191.89,2191.89,31.35,-48.56,,-5.37,-670.44,12.0,Aditya Birla Capital Ltd.,1002.5799999999999,2.1862494763510143,-4.8435037602984305,,-0.022154396434127626,2.1862494763510143,124.84916201117319
164,796.01,596.1,3/31/2016,8.07,8.55,3148.76,3148.76,16.61,-0.48,,-21.27,-950.91,12.0,Aditya Birla Capital Ltd.,1392.1100000000001,2.2618614908304657,-0.03448003390536667,,-0.0001524409608861901,2.2618614908304657,44.70662905500705
165,1232.24,3378.66,3/31/2017,106.39,102.15,5157.85,5157.85,530.58,4.24,,2.97,-1973.55,12.0,Aditya Birla Capital Ltd.,4610.9,1.118621093495847,0.09195601726344098,,0.0008220479463342284,1.118621093495847,-664.4949494949494
166,2201.04,5010.26,3/31/2018,263.83,227.66,8084.66,8084.66,95.14,36.17,,56.97,-867.26,12.0,Aditya Birla Capital Ltd.,7211.3,1.1211099247015102,0.5015739187109121,,0.0044739049013811346,1.1211099247015102,-15.223099877128313
167,2201.4,5093.6,3/31/2019,288.93,298.53,8906.71,8906.71,68.18,-9.6,0.13,-8.78,-665.76,12.0,Aditya Birla Capital Ltd.,7295.0,1.2209335161069224,-0.13159698423577793,-73.84615384615384,-0.001077839067399747,1.2209335161069224,75.82687927107062
168,2413.76,7042.96,3/31/2020,291.3,261.45,9629.11,9629.11,67.09,29.85,0.5,80.76,-657.96,12.0,Aditya Birla Capital Ltd.,9456.720000000001,1.0182293649383718,0.3156485546785777,59.7,0.003099974971726359,1.0182293649383718,-8.147102526002971
169,2415.28,7134.31,3/31/2021,191.73,118.7,9742.38,9742.38,78.61,73.03,0.46,-83.08,79.04,12.0,Aditya Birla Capital Ltd.,9549.59,1.0201883012778559,0.7647448738636947,158.76086956521738,0.007496114912372542,1.0201883012778559,-0.9513721714010593
170,0.5,0.2,3/31/2012,18.82,17.61,3.79,3.79,2.58,1.22,17.43,0.02,,12.0,Aditya Birla Fashion & Retail Ltd.,0.7,5.414285714285715,174.28571428571428,0.0699942627653471,0.32189973614775724,5.414285714285715,
171,0.5,-77.79,3/31/2013,1348.36,1393.91,2882.28,2882.28,1589.06,-68.89,1273.19,2.7,-820.21,12.0,Aditya Birla Fashion & Retail Ltd.,-77.29,-37.29175831284772,89.13184111786776,-0.05410818495275646,-0.02390121709202437,-37.29175831284772,-303.7814814814815
172,92.79,486.17,3/31/2014,1666.34,1891.57,2153.23,2153.23,510.29,-187.73,1654.82,70.13,681.32,12.0,Aditya Birla Fashion & Retail Ltd.,578.96,3.719134309796877,-32.42538344617935,-0.1134443625288551,-0.08718529836571104,3.719134309796877,9.715100527591616
173,92.79,252.27,3/31/2015,1853.51,2146.07,2142.45,2142.45,798.71,-228.14,1832.45,-35.91,-108.78,12.0,Aditya Birla Fashion & Retail Ltd.,345.06,6.208920187793427,-66.11603779052918,-0.12449998635706294,-0.10648556559079558,6.208920187793427,3.0292397660818717
174,768.84,132.87,3/31/2016,6062.92,6412.26,4584.26,4584.26,2880.34,-109.75,6024.9,310.87,-185.89,12.0,Aditya Birla Fashion & Retail Ltd.,901.71,5.083962693105322,-12.171318938461367,-0.018216069976265167,-0.023940614188549515,5.083962693105322,-0.5979669958503554
175,770.53,184.89,3/31/2017,6671.13,6615.02,5049.23,5049.23,2570.48,53.5,6625.55,425.19,-445.62,12.0,Aditya Birla Fashion & Retail Ltd.,955.42,5.284827615080278,5.599631575642126,0.008074801337247474,0.010595674984106488,5.284827615080278,-1.0480491074578424
176,771.69,319.56,3/31/2018,7214.22,7342.5,5756.04,5756.04,3185.05,117.79,7181.41,595.12,-325.2,12.0,Aditya Birla Fashion & Retail Ltd.,1091.25,5.274721649484536,10.794043528064147,0.016402071459504473,0.020463721586368406,5.274721649484536,-0.546444414571851
177,773.48,655.3,3/31/2019,8182.5,8089.78,6635.41,6635.41,4090.8,321.22,8117.72,527.61,-276.55,12.0,Aditya Birla Fashion & Retail Ltd.,1428.78,4.644108960091827,22.482117610828823,0.039570224151609074,0.048409970145024954,4.644108960091827,-0.5241561001497318
178,773.95,311.9,3/31/2020,8807.62,9311.6,9713.58,9713.58,5700.32,-145.19,8742.53,661.68,-574.13,12.0,Aditya Birla Fashion & Retail Ltd.,1085.85,8.945600221025003,-13.37109177142331,-0.01660732076412663,-0.014947115275727384,8.945600221025003,-0.8676852859388224
179,915.05,1769.51,3/31/2021,5253.78,5293.86,10064.3,10064.3,4147.5,-649.64,5181.14,1150.27,-984.62,12.0,Aditya Birla Fashion & Retail Ltd.,2684.56,3.7489569985397977,-24.199123878773428,-0.12538553291360588,-0.06454895024989318,3.7489569985397977,-0.8559903327044955
180,20.73,60.28,3/31/2012,122.47,105.56,192.09,192.09,70.29,20.76,119.34,25.37,-39.51,12.0,Advanced Enzyme Technologies Ltd.,81.01,2.371188742130601,25.62646586841131,0.17395676219205633,0.10807434015305327,2.371188742130601,-1.5573512022073313
181,21.77,108.84,3/31/2013,152.28,137.29,235.38,235.38,64.27,23.42,150.61,17.86,-27.76,12.0,Advanced Enzyme Technologies Ltd.,130.61,1.8021590996095243,17.93124569328535,0.15550096275147732,0.09949868298071204,1.8021590996095243,-1.5543113101903696
182,21.77,116.23,3/31/2014,135.22,133.11,228.63,228.63,60.27,8.61,133.53,12.78,-5.56,12.0,Advanced Enzyme Technologies Ltd.,138.0,1.6567391304347825,6.239130434782608,0.06447989215906537,0.03765909985566199,1.6567391304347825,-0.4350547730829421
183,21.77,134.11,3/31/2015,134.62,116.46,223.26,223.26,46.86,19.29,133.52,33.5,-6.69,12.0,Advanced Enzyme Technologies Ltd.,155.88000000000002,1.43225558121632,12.374903772132408,0.14447273816656678,0.08640150497178178,1.43225558121632,-0.19970149253731345
184,21.77,152.42,3/31/2016,149.52,134.34,261.57,261.57,55.14,20.89,148.53,22.33,-26.53,12.0,Advanced Enzyme Technologies Ltd.,174.19,1.5016361444399793,11.992651702164304,0.14064498754460378,0.07986389876514892,1.5016361444399793,-1.188087774294671
185,22.33,232.9,3/31/2017,191.4,159.77,331.9,331.9,44.3,34.57,183.78,21.05,-54.85,12.0,Advanced Enzyme Technologies Ltd.,255.23000000000002,1.3003957215060924,13.54464600556361,0.18810534334530415,0.10415787887918049,1.3003957215060924,-2.6057007125890737
186,22.33,266.56,3/31/2018,220.93,184.64,385.75,385.75,70.07,35.89,215.3,22.59,-22.04,12.0,Advanced Enzyme Technologies Ltd.,288.89,1.3352833258333623,12.423413756100938,0.16669763121226194,0.09303953337653921,1.3352833258333623,-0.9756529437804338
187,22.33,297.14,3/31/2019,227.71,187.08,386.36,386.36,45.07,35.23,222.09,35.38,-1.91,12.0,Advanced Enzyme Technologies Ltd.,319.46999999999997,1.2093780323661065,11.027639527968198,0.15862938448376782,0.0911843876177658,1.2093780323661065,-0.05398530243075183
