Company Name,Reserves and funds,Retained profits/losses during the year,Paid up equity capital (net of forfeited equity capital),Total income,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Year,Reserves and funds,Retained profits/losses during the year,Paid up equity capital (net of forfeited equity capital),Total income,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Year,Reserves and funds,Retained profits/losses during the year,Paid up equity capital (net of forfeited equity capital),Total income,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Year,Reserves and funds,Retained profits/losses during the year,Paid up equity capital (net of forfeited equity capital),Total income,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Year,Reserves and funds,Retained profits/losses during the year,Paid up equity capital (net of forfeited equity capital),Total income,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Year,Reserves and funds,Retained profits/losses during the year,Paid up equity capital (net of forfeited equity capital),Total income,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Year,Reserves and funds,Retained profits/losses during the year,Paid up equity capital (net of forfeited equity capital),Total income,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Year,Reserves and funds,Retained profits/losses during the year,Paid up equity capital (net of forfeited equity capital),Total income,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Year,Reserves and funds,Retained profits/losses during the year,Paid up equity capital (net of forfeited equity capital),Total income,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Year,Reserves and funds,Retained profits/losses during the year,Paid up equity capital (net of forfeited equity capital),Total income,Net working capital,Total expenses,Operating expenses of non-finance cos,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Market Capitalisation,Net cash inflow or (outflow) from investing activities,Net cash flow from operating activities,Year
Bajaj Holdings & Invst. Ltd.,47371.5,2452.8,1112.9,6569.5,6817.3,894.9,72.7,53014.4,53014.4,4244.2,5674.6,1.1,553980.14,-1732,6555,3/31/2012,50754.6,3383.1,1112.9,7535.3,6433.3,902,125.7,56130.7,56130.7,4003.3,6633.3,2.2,549233.47,-4397.4,5502.5,3/31/2013,54183.4,3428.8,1112.9,8465.3,2265.6,1131.8,181.3,59801.4,59801.4,4117.2,7333.5,96.9,551687.49,-2666.1,6197.5,3/31/2014,58515.8,4332.4,1112.9,10064.6,71.6,1387.3,218,64665.6,64665.6,4627.5,8677.3,161.6,556361.82,-3964.3,7280.9,3/31/2015,66867.6,8351.8,1112.9,14012.8,13714.1,1307.7,374.2,69791.9,69791.9,1387.9,12705.1,163.8,548949.67,10244.5,11406.2,3/31/2016,72249.4,5381.8,1112.9,8884.3,18852.2,3502.5,505.9,74390.1,74390.1,313.3,5381.8,167.1,547319.22,-13686.4,727.3,3/31/2017,101104.5,3665.9,1112.9,9538.3,1764.3,1539,644.9,103415.3,103415.3,687.8,7999.3,177.6,551737.58,-11239.4,16302.7,3/31/2018,108781.3,2516.9,1112.9,10033.5,1121.2,2151.6,733.8,111156.3,111156.3,572.7,7881.9,226.9,533290.68,-1632.4,6273.5,3/31/2019,105812,8640.8,1112.9,22058.6,1128.1,3789.9,1068.7,110836.2,110836.2,673,18268.7,600.3,498372.34,-8437.9,18488.7,3/31/2020,139054.8,1985.9,1112.9,4311.4,933.4,2325.5,857.5,145465.7,145465.7,556.9,1985.9,771.7,500286.59,-1881.4,2252.8,3/31/2021
Balaji Amines Ltd.,1660.1,262.9,64.8,5610.5,-23.7,5048.3,4519.7,5204.4,5204.4,1985.6,311.8,5582.9,100979.34,-857.9,950.8,3/31/2013,1957.6,297.5,64.8,6737,-212.2,6626.4,6025.5,6501.3,6501.3,2827.2,335.2,6693.1,100562.98,-500.7,1111.5,3/31/2014,2312.4,316.9,64.8,6613.5,-24.1,6236.1,5531.1,6032.6,6032.6,2352,363.6,6600.8,98784.17,-141.3,603.9,3/31/2015,2852.2,534.7,64.8,6946.9,97.9,6113.3,5414.7,6068.7,6068.7,2022,612.7,6904.2,95942.6,-299.7,848.6,3/31/2016,3707.9,855.7,64.8,7365,519.3,6551.2,5803,6554,6554,1989.1,855.7,7297.6,93520.63,-251.6,675.8,3/31/2017,4605.8,1046,64.8,8867.2,664,7735.9,6926,8193.6,8193.6,2563.1,1131.8,8777.6,94539.64,-934.5,1235.6,3/31/2018,5685.3,1079.4,64.8,9604.6,1313.7,8680.4,7839.4,9972.7,9972.7,2565.7,1180.8,9533.7,95424.19,-466.8,890.5,3/31/2019,6611.7,926.5,64.8,9374.9,1641.9,7947.5,7142.1,11044.8,11044.8,2226.6,1137.5,9227.8,93000.59,-1297.9,1475.3,3/31/2020,8909.3,2297.7,64.8,12461.9,2830.6,10041.3,8954.4,12917.9,12917.9,1998.3,2317.1,12296.3,90860.5,-892.3,939.3,3/31/2021,11859.1,2949.8,64.8,19396.6,4646,16844.3,15329.9,16987.8,16987.8,3309.5,3079.4,19214.7,88641.04,-1204.3,1678.5,3/31/2022
Balkrishna Industries Ltd.,13996.3,3388.7,193.3,32244,5746.4,29050.1,25786.1,39920.1,39920.1,8716.9,3558.3,32199.7,434122.75,-9593.4,5501.2,3/31/2013,18654.7,4658.4,193.3,36295,2613.7,31376.4,26238.2,48782,48782,11618.9,4883.7,36151.7,428932.18,-12431,5961.9,3/31/2014,22723.5,4704.5,193.3,41230.8,5901.1,36090.3,30798.6,53194.7,53194.7,14736.2,4982.8,38338.2,429193.16,-4305.7,9817.3,3/31/2015,27623.3,3466.9,193.3,34214.8,-643.1,29681.2,24008.3,54096.9,54096.9,14993.8,4385.7,32725.2,424630.87,-5687.9,10951.8,3/31/2016,35319,6515.7,193.3,40343.2,17.3,33182.2,26500.1,57637.2,57637.2,16050.2,7156.3,37846.6,410161.08,-5336.7,8418.1,3/31/2017,40565.7,6093.5,386.6,48006.7,4566.7,41121.5,33908.6,58625.3,58625.3,13950.4,7315,44644.6,407928.27,-919.1,7533.1,3/31/2018,46400.5,6072.1,386.6,55423,8615.6,47988.2,40390.7,64626,64626,13987.5,7820,53280.9,416811.19,-6213,8126.9,3/31/2019,49894.4,4322.6,386.6,52122.3,3420,42184.4,35428.5,67734.2,67734.2,14808.4,9449.8,48462.5,407367.65,-6558.6,11639.2,3/31/2020,59685.5,9234,386.6,60336.3,5140.8,50270.8,42300.7,80687.4,80687.4,17864.9,11553.8,58703.4,401268.49,-11585.4,13630.3,3/31/2021,68858.9,8500.7,386.6,87909.7,4878.5,76356.1,66369.4,108843.5,108843.5,31406.3,14106.9,83603.7,400649.88,-18887.5,8812.7,3/31/2022
Balrampur Chini Mills Ltd.,11936.8,55.9,244.3,24171.5,2225.4,29139.8,26418.8,42931.4,42931.4,22574.3,55.9,23909.1,84350.14,-553.9,1950.3,3/31/2012,12986.3,1049.8,244.3,34270.8,-242.7,31449.2,28357.9,43530.4,43530.4,24323.9,1621.4,33844.5,81156.91,-76,5553.5,3/31/2013,11940.3,37.1,244.8,28585.9,1689,30407.8,27470.2,42284.3,42284.3,21756.9,38.1,27995.3,82248.52,-631.1,4623.6,3/31/2014,11049.6,-575.4,244.9,34503.7,917.3,30806.7,28436.8,39719.5,39719.5,21057.4,-575.4,34114.2,82513.78,-230.2,-762.8,3/31/2015,12070.1,1004.3,245,30271.1,3675.9,31190.9,27096.2,37602.1,37602.1,18131.9,1004.3,28492.5,78626.81,-1466.2,1470.2,3/31/2016,15177.5,4892.7,235,36660.8,3259.9,35034.1,31453.4,42912.2,42912.2,21773.6,5924.8,36116.8,80677.42,-1152.5,3463.6,3/31/2017,15642.6,1506.2,228.4,44925.9,1848,37303.7,34503.7,40032.1,40032.1,18715.6,2213.4,44007.2,81187.52,-1624.6,11803.1,3/31/2018,20598.6,5021.8,228.4,45787.5,7973,45460.8,43487,52331.4,52331.4,21854.9,5710.3,42762.8,77351.56,-1592,-5230,3/31/2019,23484.1,4434.4,220,48711.5,9183.2,43240.7,40360.6,54162,54162,19926.8,5097.5,47348.4,74392.98,-3047.1,8496.1,3/31/2020,25428.4,4178.3,210,48741.1,10454.8,44596.1,41525.1,53182.5,53182.5,16921,4703.3,48094.8,70699.86,-811.1,6489.7,3/31/2021
Bandhan Bank Ltd.,,,,,,,,,,,,,528094.03,,,,,,,,,,,,,,,,533570.68,,,,,,,,,,,,,,,,537678.16,,,,5.8,5.8,5010.5,79.5,3921.7,73.7,56.4,5268.9,5268.9,252.6,5.8,,521006.6,-1015.1,4.7,3/31/2015,22393.6,2752.5,10951.4,17312.7,-7852,14560.2,5801.6,197565,197565,12816,2752.5,,494269.77,-4538.2,69496,3/31/2016,33513.1,11119.5,10951.4,43201.2,52918.5,32081.7,9551.5,302360.8,302360.8,15320.4,11119.5,,505867.43,-26709,88851.9,3/31/2017,81891.4,13455.6,11928,55124.5,52916.9,41668.9,11600.3,443100.6,443100.6,7741.1,13455.6,,505625.81,-22366,-25988,3/31/2018,100086.6,18077,11930.8,77441.8,50692.8,57926.8,16832.3,564417.1,564417.1,14870,19515,,499424.28,-23732,26954.1,3/31/2019,135852,24152.9,16102.5,124439,72955.6,94201.6,23014.4,919053.5,919053.5,30616.6,30237.4,,500068.6,-42724.8,65830.1,3/31/2020,157975.8,22054.6,16106,152167,55359.9,130112.4,26703.8,1151993.2,1151993.2,26522.8,22054.6,,441516.52,-18038.7,-9445.6,3/31/2021
Bank Of Baroda,315469.1,34211,4212.6,388423.6,781384.5,343616.4,53051.2,5471354.5,5471354.5,147033.9,44807.2,,526961.81,-388535,579702,3/31/2013,355550,34574,4294.2,434357.2,1219634.5,388946.4,64510.7,6595045.4,6595045.4,178115,45410.8,,535235.99,44337.3,323228.1,3/31/2014,393917.8,25467.5,4423,480397.4,1415123.8,446413,72040.8,7149885.5,7149885.5,223294.1,33984.4,,543251.6,-65608.2,265625.9,3/31/2015,397368.9,-53955.4,4608.3,509055.3,1363743.9,563010.7,84468,6713764.7,6713764.7,236679.3,-53955.4,,543510.17,-39954.2,-98416.4,3/31/2016,398411.6,10503.5,4608.3,496221.7,1557659.4,482390.3,88100.5,6948754.2,6948754.2,222855.6,13831.4,,516619.08,-4260.4,171938.6,3/31/2017,428644.2,-24318.1,5291,513756.5,955469.3,538074.6,93102.9,7199997.7,7199997.7,227182.1,-24318.1,,519980.47,-5633.5,-610878.4,3/31/2018,454107.4,4335.2,5291,563429,1474817.9,559093.8,103775.9,7809874,7809874,241132.9,4335.2,,516877.65,-39570.5,-41196.3,3/31/2019,709308.4,5461.9,9241.1,868955.3,1390545.3,863493.4,172127.3,11579155,11579155,470055.7,5461.9,,504466.38,1410.3,9295,3/31/2020,760102.1,8289.6,10342.7,841684.5,1310187,833394.9,192291.3,11553647.8,11553647.8,444741.9,8289.6,,492313.68,-2688,-46091.7,3/31/2021,848741.8,57984.4,10342.7,852767,1363835.9,780044.2,203267.3,12779998.2,12779998.2,422522.6,72722.8,,471111.09,-39669.8,75285.4,3/31/2022
Bank Of India,203872.7,22115.4,5737.8,330920.8,337414.4,304145.6,47738.2,3845354.8,3845354.8,121609.5,26775.2,,192046.89,-19727.9,-105417.3,3/31/2012,233215.1,20522.6,5959,370968,529225.6,343474.5,46194.2,4526027.3,4526027.3,111649.3,27493.5,,191636.54,-83893.7,257043.5,3/31/2013,292800.9,23537.4,6422.6,448477.4,624533.9,421184.7,59433.8,5731902.1,5731902.1,162789.8,27292.7,,190610.64,-203542.7,148337,3/31/2014,307810.9,13092,6649.1,477673.3,739708.1,460584.1,71751.2,6186977.7,6186977.7,146182.6,17089.2,,189584.75,-8416.7,108445.3,3/31/2015,301962.8,-60892.1,8165.5,461341.9,1024373.5,522234,82821.3,6117608.3,6117608.3,135090.4,-60892.1,,183839.76,-4271.2,220245,3/31/2016,297097.2,-15583.1,10547,461581.8,1006398.3,477164.9,88782.5,6284531,6284531,143844.3,-15583.1,,181787.98,2653,-74775.8,3/31/2017,337969.2,-60437.1,17429.8,447282.3,1030582.4,507719.4,85812,6114262.6,6114262.6,95908.4,-60437.1,,181993.16,-4991.3,-64230.3,3/31/2018,389211.2,-55469,27592.9,465596.8,1015028,521065.8,98576.8,6271741,6271741,137973,-55469,,173991.2,1508.2,-91915.3,3/31/2019,405386.6,-29568.9,32769.2,491010.1,918749.4,520579,100666.2,6589928.5,6589928.5,179200.4,-29568.9,,171118.71,-3504.4,-48339.2,3/31/2020,424079.1,21603,32769.2,480871.9,1307593,459268.9,104669,7279944,7279944,175893.4,21603,,168246.21,-3368.7,380630.7,3/31/2021
Bank Of Maharashtra,51474.7,5230.5,6614.8,105934.3,61236.4,98339.1,17227.1,1170535.3,1170535.3,33414.5,7595.2,,111389.72,-55200.9,-5262.7,3/31/2013,59410.5,2258.8,8391,129426.8,57469.7,125567.1,21942.7,1365450.4,1365450.4,37363.9,3859.7,,112399.29,-59906.8,101971.4,3/31/2014,70041.5,3486.3,10631.8,138225.2,94527.5,133718.3,24106.4,1462964,1462964,46527.5,4506.9,,111726.24,-1509.9,-10834.7,3/31/2015,76187.9,1003.8,11683.3,145453,122686.8,144449.2,24036.2,1610897.5,1610897.5,37486.4,1003.8,,112399.29,-1319.7,28854.1,3/31/2016,62111.9,-13725.1,11683.3,137448.6,193890.7,151173.7,27380.9,1596888.7,1596888.7,47549.7,-13725.1,,109034.04,-987.4,74981,3/31/2017,73455.1,-11456.5,25984.5,130207,196446.3,141663.5,25759.1,1566615.2,1566615.2,33398.9,-11456.5,,109370.57,-1344.3,-17234,3/31/2018,29862.7,-47838.8,27531.7,127557.8,104934.9,175396.6,28419.5,1648715.4,1648715.4,79968.5,-47838.8,,109034.04,-1259.3,-108226.9,3/31/2019,49311.7,3885.8,58241.1,133268.3,149316.4,129382.5,28700.1,1690405.2,1690405.2,43754.6,3885.8,,106005.32,-1092.4,7028.8,3/31/2020,55730.1,5502.5,65601.6,147294.5,172624.2,141792,33769.4,1966822.4,1966822.4,62874.6,5502.5,,104995.74,3168.7,24668.9,3/31/2021,71543.7,8150.1,67305,160747.1,222046.8,149231.7,35806.8,2306237.8,2306237.8,66854.6,11515.4,,102303.55,-119.7,72346.6,3/31/2022
Bata India Ltd.,5100.4,1811.2,642.6,16959.9,2766.4,15598.2,14144.9,9242.1,9242.1,2873.3,2258.4,15650.8,229460.22,-322.3,697.9,12/31/2011,6360.7,1267.9,642.6,19020.6,3302.9,17944.1,16479.3,11304.5,11304.5,3740.1,1716,18717.6,222494.02,-1287.8,1845.5,12/31/2012,7767.4,1415.7,642.6,21297.7,4437.3,20603.6,18910.6,13827.6,13827.6,4624.8,1907.4,20984.1,224492.63,-1166.9,1815.4,12/31/2013,9578.7,1823,642.6,28140.5,4812.9,27035,25052.3,16374.3,16374.3,5175.4,2311.7,27376,223072.4,-658.8,1185.4,3/31/2015,11578.3,1673.3,642.6,25790.7,7163.5,23413.7,21289.3,17312.2,17312.2,4062.6,2176,24485.9,218548.23,-1159.5,2043.5,3/31/2016,12610.1,1046,642.6,25501.7,8363.4,24117.9,22444.3,19309.7,19309.7,5017.3,1587.5,24972.4,221035.24,-2329.2,2615.7,3/31/2017,14144.5,1694.3,642.6,26871.6,9201.7,25214.8,23251.3,21532.3,21532.3,5666.5,2235.8,26363.2,221427.25,-1073.9,1556.9,3/31/2018,16822.7,2676.8,642.6,30169.1,11667,27697.7,25197.5,24864.6,24864.6,6357.6,3296.6,29284.4,215463.57,-2770.4,3443.7,3/31/2019,18323.2,2300.8,642.6,31222.9,11549.3,28296.4,22417.3,37432.6,37432.6,8071,3269.2,30534.5,210361.02,-1890.4,5797.8,3/31/2020,16955.2,-1416.9,642.6,18013.3,11037.3,16298.8,12790.8,33454.7,33454.7,7226.7,-902.8,17073,209326.38,-508.7,4581,3/31/2021
Bayer Cropscience Ltd.,7532,1197,395,24078,4465,23427,22222,24009,24009,10120,1390,23623,237426.82,-1715,3667,3/31/2012,18918,11386,395,41128,15130,29416,24837,33753,33753,8208,11617,28390,233440.46,6920,-1267,3/31/2013,17057,2660,366,34901,8590,32091,29792,35049,35049,7484,2895,34049,235035.91,-2897,2815,3/31/2014,19963,2906,366,39939,16279,36160,33856,40837,40837,8560,3830,39101,233168.56,4852,2004,3/31/2015,18040,2401,354,29726,14478,26891,24819,39174,39174,6815,3151,29122,227541.81,158,2065,3/31/2016,20213,2187,354,30200,16613,28335,26232,44577,44577,8293,2910,29685,230299.01,-84,1573,3/31/2017,17440,2278,343,28255,12766,24604,22662,42716,42716,9625,3001,27637,225571.1,383,1214,3/31/2018,21945,1827,343,34711,13707,32024,29861,55612,55612,16985,3371,34328,228627.16,-4147,4328,3/31/2019,25276,3513,449,40822,17350,35486,32229,60298,60298,17785,4745,39487,220571.29,-289,6659,3/31/2020,25054,-238,449,48505,18294,45353,41413,66973,66973,22700,4931,46874,213045.74,67,6867,3/31/2021
Berger Paints India Ltd.,7763.7,1210.7,692.3,29441,3849.2,28521,27177.3,15126.6,15126.6,6427.8,1773.9,29134.8,564208.21,-670.6,1199.2,3/31/2012,9151.7,1368.7,692.6,33761.9,3306,32255.3,30651.9,18392.3,18392.3,8252.9,2098,33454.3,564208.21,-1925.5,1766.2,3/31/2013,10625.9,1450.7,693,37851.9,2972.3,35836.5,33930,21613.2,21613.2,9872.2,2342.5,37546,564791.02,-3040.4,3374.4,3/31/2014,12234.7,1616.8,693.3,42661.4,4027,40346.7,37866,26656.9,26656.9,9827.7,2660.3,42319.5,564111.08,-1687.2,3854.4,3/31/2015,15227.9,2477.7,693.5,43454.9,6503.8,40251.7,37316.2,25164.6,25164.6,8706.8,3562.6,43059.1,555806.04,-2221.2,5355.5,3/31/2016,18156.7,3272.4,971,48585,7033.5,45505.1,41910.3,37051,37051,11080.4,4440.9,47235.2,554203.31,,,3/31/2017,20465.1,2273.2,971,48859,6024.4,44471.2,40811.7,44692.9,44692.9,14117.3,4318.4,48393.7,559254.33,-1689.2,3994.3,3/31/2018,22576.8,2251.4,971.1,55691.8,6907.3,53020,48152.1,52670.7,52670.7,15428.7,4358.5,54899.2,552114.91,-3445.5,5477,3/31/2019,25279.2,2747.4,971.2,58425.1,6275.1,51602.7,47398.8,58007.9,58007.9,16025.9,6990.5,56636.1,543712.74,-2340.1,7927.8,3/31/2020,31824.8,6516.4,971.3,60771.8,11647.2,55801.7,50915.2,70788.2,70788.2,19545.3,6807.8,59812.4,561537,-4586.3,6767.2,3/31/2021
Bharat Dynamics Ltd.,6174,1803.4,1150,14218.5,-4686.8,12207,10504.6,64287.8,64287.8,55862.1,2349.6,9594.4,149639.98,1995.6,978.9,3/31/2012,8383.1,2209.2,1150,16000.8,-7990.9,14124.9,12294,72839,72839,62081.8,2884,10765.6,147605.55,2696.5,-5551.1,3/31/2013,11029.7,2646.6,1150,23197.2,-7002.9,19988.1,17772.3,83487.6,83487.6,70024.2,3455.1,17859.8,149951.55,2285.1,2017.6,3/31/2014,14185.9,3178.9,1150,32986,13059.2,28504,24344.7,84577.3,84577.3,49282.9,4185.7,27996.8,150886.29,2392.8,-7647,3/31/2015,17022.6,4415.9,977.5,46772.7,20335.7,42502.5,38492.7,97023,97023,65878.8,5648.8,41528.3,145690.27,6885.8,-2507.4,3/31/2016,20728,4020.8,1221.9,53389.8,15441.6,49393.1,42819.7,84559.3,84559.3,57136,5240.6,48761,143600.86,9237.8,-13409.9,3/31/2017,17731,3088.4,1832.8,49381.4,10177.5,44636.8,38713.1,67228.8,67228.8,42909.2,5281.5,44011.5,147798,10470.1,-3414.9,3/31/2018,20852.7,1455.1,1832.8,33574.6,11416,31007.5,27610.5,55939.8,55939.8,29713.3,4225.9,29807.2,144251.51,1697.8,835.2,3/31/2019,24235.5,3599,1832.8,33646.7,22229.8,23261,20046.3,57999.7,57999.7,23763.6,5349,31613.3,148485.3,-331.8,5042.3,3/31/2020,25014.7,882.3,1832.8,20513.8,23225,19225.2,17307.2,60830.1,60830.1,25860.9,2577.7,18581.9,131339.34,-7337.9,10680.2,3/31/2021
Bharat Electronics Ltd.,55569.7,6340.1,800,64312,47088.1,56941.1,51613.5,173585,173585,98698.9,8274,57985.9,598792.72,-9265.8,1208.6,3/31/2012,62428.6,6786.1,800,67670.2,44729.9,61580.5,56193.8,160127.8,160127.8,86525.3,8869.6,61043.1,597818.08,18883.7,-16618,3/31/2013,69498.4,7042.3,800,68082.9,51467.7,58386.6,51100.9,163015.2,163015.2,79882.9,9223.1,62714.7,598305.4,8724.4,-6952.4,3/31/2014,78141.4,8677.9,800,73779.6,59006.6,61931.6,55019.4,172277.1,172277.1,77932.1,11487.7,68201.8,600985.65,-8423.2,13488.8,3/31/2015,87436,10117.7,2400,82925.3,71665.4,72193.7,63655.4,194339.8,194339.8,84261.8,13073.6,76330.5,573573.98,-14846.2,22490.7,3/31/2016,72851.8,8061.7,2233.6,96988.1,49990.5,85703.2,75726.2,188936,188936,87178.6,15476.2,89226.8,588193.54,31481.9,-973.8,3/31/2017,75173.5,6438.7,2436.6,108564.7,36988.1,90419,77301.8,203470.4,203470.4,98844.6,13992.9,101852.4,584904.14,414.4,-7885.4,3/31/2018,87752.5,13104.3,2436.6,123965.9,50388.1,106015,89610.7,226364.8,226364.8,104367.1,19272.9,119092.1,566142.37,-8537.7,14659.6,3/31/2019,96092.8,8841,2436.6,132942.8,54481.8,112410.2,96205.1,261886.9,261886.9,127780.3,17938.3,127002.4,572112.02,-6389.3,25325.3,3/31/2020,105642.3,10420.4,2436.6,142435.1,64081.9,123074.2,107880.5,313598.2,313598.2,167797.3,20654.2,139166.8,553106.6,-25685.9,51034.6,3/31/2021
Bharat Forge Ltd.,20965.2,2538.4,465.6,39270.7,8073.1,35812.2,29579.4,53837.4,53837.4,14250.4,3620.7,38594.9,304192.33,-7354.1,6715,3/31/2012,22645.5,2131.6,465.6,34495.7,7231.3,31298.2,25756.5,51798.2,51798.2,11831.5,3055.9,33299.3,309034.45,209,5247.4,3/31/2013,26467.4,2773.7,465.6,37165.5,12583.4,33533.8,27281.6,57329.7,57329.7,14373,3999.3,35702.4,315575.97,-4246.7,7652.7,3/31/2014,34490.9,5090.9,465.6,48441.2,21744.7,41411,33689.1,64123.7,64123.7,11199,7189.8,47355.6,315063.83,-1382,9027.1,3/31/2015,35349.5,3754,465.6,46461,13923.8,39538.9,31696.6,72303.7,72303.7,18947.7,6976.2,45261.1,306008.13,-6526.6,13063.5,3/31/2016,41853.7,5010.2,465.6,42284.4,9306.8,36979.5,30240.8,77387.7,77387.7,23068.2,5850.8,40666,302236.86,-5793.1,8923.6,3/31/2017,45211.5,4551.2,931.2,54960.7,6079.5,48169.3,38212.6,84431.3,84431.3,25696.9,7073,53734,304448.41,-6968.4,9412.9,3/31/2018,53050.8,7906.2,931.2,67242.7,13216.8,57742,47635.5,100197.8,100197.8,28444.2,10712.8,65208.6,294834,-10018.3,7965.8,3/31/2019,52619.3,1399.8,931.2,47343,14815.5,42794.2,35515,98266,98266,25919.6,4735.2,45646.1,294996.96,-7293.4,13766.6,3/31/2020,58555,3120.9,931.2,37980,21186.1,35673.2,30098.8,112514.5,112514.5,29705.5,3120.9,36523.8,290713.54,-11299.6,8137.5,3/31/2021
Bharat Heavy Electricals Ltd.,248836.9,52193.7,4895.2,529802.6,205499.3,467635,397514.5,777965.1,777965.1,295067,70399.6,502563.9,175670.1,-3297,-8135.7,3/31/2012,299545.8,50708.9,4895.2,538104.3,237588.8,470794.9,398624.7,823927.4,823927.4,288747.8,66147.3,509631.5,176192.41,-3380.5,18647.8,3/31/2013,325575.3,26503.8,4895.2,439927.5,271990.4,394783.2,332171.2,846647,846647,269238.8,34607.8,410584.4,176366.51,-1680.7,45181.4,3/31/2014,335950.8,10780.5,4895.2,346261.6,275818.3,335472.2,278668.2,793882.7,793882.7,241723,14192.9,316478.1,173406.76,4643.1,7754.8,3/31/2015,316915.6,-8922.4,4895.2,305178.4,283563.2,309906.7,261887.9,804136.2,804136.2,319486.9,-7096,267630.9,165223.91,510.5,3469.3,3/31/2016,318049.2,1423.6,4895.2,346528.6,270365,331828.6,259711.4,754672.9,754672.9,293741.3,4958.6,290991.6,165398.01,-5659.4,5619.7,3/31/2017,318668,2233.1,7342.8,364068.6,234068.2,349983.8,285467.2,801002.3,801002.3,295732.4,8066,323524.4,165572.11,9642.7,9905.5,3/31/2018,307353.9,4213.5,6964.1,379306.2,158830.7,377127.7,319777.6,825682.7,825682.7,288894.1,12086.5,342417.7,158607.99,19149.1,-38555.8,3/31/2019,284848,-19767.1,6964.1,284269.7,102841.8,309423.4,258341.8,798224.2,798224.2,271375,-14729.7,236045.6,155822.34,18770.2,-28917.1,3/31/2020,257876.4,-27171.4,6964.1,225696.2,74350.1,247759,210120.7,748341.4,748341.4,228988.4,-27171.4,191192.8,146420.76,-425.5,5617.2,3/31/2021
Bharat Petroleum Corpn. Ltd.,145523.2,8562.4,3615.4,2242607.7,-74751.4,2235512.7,2176349,666544.4,666544.4,468104.8,13111,2225004.7,694811.65,-8905.4,9258.4,3/31/2012,159109.4,17198.6,7230.8,2525652.6,-38030.1,2513943.3,2449593.6,679703.1,679703.1,421858,26427.2,2506492.6,702295.58,-23848.1,54778,3/31/2013,187356.8,26341.9,7230.8,2726627.2,11550.8,2706330.1,2637774.2,737278.5,737278.5,386678.8,40600.1,2710518.1,722144.24,-42921.9,84041,3/31/2014,217444,31610,7230.8,2561368.1,-22626.7,2465412.8,2409071.4,711166.8,711166.8,328553.1,50822.1,2532548.6,718131.12,-79480.5,182172.9,3/31/2015,266673.4,37757.1,6556.2,2196709.4,-65561.4,2117802.7,2047885.2,769651.5,769651.5,309084.1,70563.6,2162962.8,689496.98,-80417.9,101792.1,3/31/2016,283571.3,14012,13112.5,2448544.5,-90480.2,2423927.6,2364872.6,942077.1,942077.1,440795.9,80393,2420362.6,682229.99,-102086,78969.3,3/31/2017,321646.1,43742.4,19668.8,2806024.4,-77995.3,2723055.4,2649675.7,1024877.4,1024877.4,450616.3,79763,2772556.1,682663.84,-47408.8,90092.5,3/31/2018,347708,25794.1,19668.8,3406940.1,-7141.6,3352650.5,3263289.6,1179991.4,1179991.4,479111.9,71320.2,3375922.2,675722.23,-75365.8,76448.5,3/31/2019,312475,-35504.6,19668.8,3314613.7,-182782,3292348,3194009.8,1294863.6,1294863.6,595009.3,26831.9,3275807.8,653270.46,-91715.2,62653,3/31/2020,524516.4,144862.4,20929.1,3170470.2,-40857.8,3016389.2,2889293.8,1433855.4,1433855.4,553707.4,190416.7,3018649.8,642424.2,20714.1,201284.3,3/31/2021
