,Year,Company,Paid up equity capital (net of forfeited equity capital),Reserves and funds,Total income,Total expenses,Total liabilities,Total assets,Current liabilities & provisions,Profit after tax,Sales,Net cash flow from operating activities,Net cash inflow or (outflow) from investing activities,Equity,Retained profits/losses during the year,Net working capital,Market Capitalisation,Operating expenses of non-finance cos
1310,3/31/2020,Esab India Ltd.,15.39,322.36,719.94,652.53,468.36,468.36,118.19,71.41,695.68,57.18,-80.01,337.75,71.41,225.11,5316.13,612.09
1311,3/31/2021,Esab India Ltd.,15.39,243.83,700.27,636.8,397.64,397.64,126.57,59.29,680.61,72.38,96.21,259.22,-77.71,127.79,5258.1,601.86
1312,9/30/2011,Escorts Kubota Ltd.,102.31,1696.23,3353.35,3268.13,3245.23,3245.23,1183.53,120.09,3264.12,186.25,-81.54,1798.54,101.68,49.97,20812.31,3140.11
1313,9/30/2012,Escorts Kubota Ltd.,119.27,1494.69,4047.7,4035.91,3528.07,3528.07,1553.11,69.6,3997.2,60.14,-108.33,1613.96,52.5,-212.74,20818.25,3870.89
1314,3/31/2014,Escorts Kubota Ltd.,119.27,1712.11,6513.68,6284.73,3590.42,3590.42,1425.43,244.89,6424.38,346.63,-62.39,1831.3799999999999,219.08,45.18,20389.44,6073.06
1315,3/31/2015,Escorts Kubota Ltd.,119.29,1677.01,4215.69,4058.91,3465.67,3465.67,1401.32,74.71,4061.64,9.8,-24.55,1796.3,57.01,-30.35,20380.21,3862.42
1316,3/31/2016,Escorts Kubota Ltd.,122.58,1715.1,3660.67,3602.62,3458.99,3458.99,1394.04,83.75,3440.25,221.69,-26.34,1837.6799999999998,70.94,-126.05,20704.78,3304.41
1317,3/31/2017,Escorts Kubota Ltd.,122.58,1868.58,4282.95,4172.17,3685.34,3685.34,1500.0,160.44,4169.32,300.79,-139.67,1991.1599999999999,143.1,-3.0,20540.51,3911.32
1318,3/31/2018,Escorts Kubota Ltd.,122.58,2425.53,5086.89,4762.91,4441.44,4441.44,1735.89,344.72,5018.41,472.2,-378.38,2548.11,323.05,411.33,19812.86,4493.35
1319,3/31/2019,Escorts Kubota Ltd.,122.58,2900.28,6310.07,6028.78,5100.19,5100.19,1917.3,484.91,6176.37,-240.68,-13.63,3022.86,455.97,601.43,19569.43,5683.85
1320,3/31/2020,Escorts Kubota Ltd.,122.58,3357.5,5853.2,5368.87,5418.89,5418.89,1773.27,485.54,5725.18,816.6,-429.77,3480.08,459.52,934.81,19936.23,5099.11
1321,3/31/2021,Escorts Kubota Ltd.,134.83,5256.76,7083.85,6082.39,7313.36,7313.36,1715.12,874.06,6884.86,1121.64,-2199.37,5391.59,849.54,2807.67,19520.61,5682.12
1322,3/31/2012,Exide Industries Ltd.,85.0,2972.31,5750.49,5310.75,4105.97,4105.97,930.74,461.17,5678.31,510.06,-322.86,3057.31,316.39,1171.51,12550.25,5000.92
1323,3/31/2013,Exide Industries Ltd.,85.0,3338.59,6950.84,6550.5,4564.2,4564.2,1000.73,522.78,6867.85,359.72,-180.09,3423.59,367.24,960.06,12469.5,6203.28
1324,3/31/2014,Exide Industries Ltd.,85.0,3646.46,6795.79,6411.66,4975.02,4975.02,1096.32,487.08,6761.84,646.95,-434.27,3731.46,308.87,1128.76,11989.25,6047.1
1325,3/31/2015,Exide Industries Ltd.,85.0,3969.59,7686.61,7384.16,5428.49,5428.49,1191.98,545.87,7663.91,324.5,-213.04,4054.59,325.8,1096.9,11912.75,6988.01
1326,3/31/2016,Exide Industries Ltd.,85.0,4426.43,7788.28,6929.92,6177.07,6177.07,1465.86,624.46,7733.62,1339.76,-1146.0,4511.43,390.07,1330.61,12002.0,6476.85
1327,3/31/2017,Exide Industries Ltd.,85.0,4878.59,8666.06,8237.5,6826.26,6826.26,1616.49,693.64,8553.74,429.91,-307.22,4963.59,450.26,1567.12,11764.0,7734.83
1328,3/31/2018,Exide Industries Ltd.,85.0,5304.31,9527.63,9113.68,7466.3,7466.3,1823.34,668.35,9459.8,516.61,-28.04,5389.31,422.82,1286.17,11572.75,8469.91
1329,3/31/2019,Exide Industries Ltd.,85.0,5901.99,10738.21,9931.01,8239.5,8239.5,1963.69,844.05,10588.31,1003.79,-765.61,5986.99,598.11,1348.48,11207.25,9212.05
1330,3/31/2020,Exide Industries Ltd.,85.0,6211.11,9920.6,9354.67,8323.52,8323.52,1764.6,825.51,9858.78,913.63,-324.87,6296.11,326.9,1562.71,11564.25,8769.22
1331,3/31/2021,Exide Industries Ltd.,85.0,6808.51,10106.28,9303.56,9709.61,9709.61,2334.14,758.28,10043.67,1413.39,-1276.87,6893.51,588.28,1997.21,11415.5,8639.65
1332,3/31/2012,F D C Ltd.,18.29,669.67,740.74,618.89,860.76,860.76,138.05,132.69,711.72,142.53,-108.62,687.9599999999999,90.18,291.35,4003.41,557.85
1333,3/31/2013,F D C Ltd.,18.08,761.54,827.87,662.07,968.97,968.97,153.75,158.33,780.27,149.04,-105.08,779.62,111.08,236.69,3994.29,590.1
1334,3/31/2014,F D C Ltd.,17.78,822.63,895.29,763.99,1068.44,1068.44,192.77,134.42,853.76,148.81,-55.38,840.41,87.61,227.75,3902.21,650.99
1335,3/31/2015,F D C Ltd.,17.78,911.73,941.56,803.75,1143.59,1143.59,185.92,145.91,896.78,126.56,-88.89,929.51,97.75,295.15,3900.55,707.39
1336,3/31/2016,F D C Ltd.,17.78,1058.66,1049.91,887.5,1266.08,1266.08,162.75,168.9,1009.93,171.09,-73.17,1076.44,72.58,338.03,3929.58,789.14
1337,3/31/2017,F D C Ltd.,17.78,1245.86,1097.62,912.88,1877.08,1877.08,388.78,187.07,1046.03,153.09,-143.08,1263.6399999999999,187.07,508.04,3896.4,831.35
1338,3/31/2018,F D C Ltd.,17.44,1244.87,1121.46,955.95,1959.66,1959.66,477.41,168.31,1070.21,147.76,20.16,1262.31,120.15,456.81,3991.8,847.52
1339,3/31/2019,F D C Ltd.,17.44,1415.52,1130.66,981.05,2172.67,2172.67,500.46,171.54,1075.87,103.79,-109.28,1432.96,171.54,509.92,3910.5,877.59
1340,3/31/2020,F D C Ltd.,17.1,1524.72,1413.75,1162.36,2431.55,2431.55,568.31,246.78,1331.09,239.01,-85.86,1541.82,233.07,647.31,3927.92,1002.2
1341,3/31/2021,F D C Ltd.,16.88,1705.28,1422.61,1153.62,2666.89,2666.89,634.13,294.49,1325.45,209.85,-82.83,1722.16,294.49,689.87,3839.99,1018.45
1342,3/31/2014,F S N E-Commerce Ventures Ltd.,7.4,-6.1,2.71,9.08,3.52,3.52,1.09,-5.37,2.67,-56.25624010187364,-35.717949848298865,1.3000000000000007,-5.37,0.5,69160.54,8.62
1343,3/31/2015,F S N E-Commerce Ventures Ltd.,10.27,2.58,16.95,30.95,22.07,22.07,9.13,-9.27,14.34,-56.6053988623906,-35.394390840448956,12.85,-9.27,2.9,69288.59,36.4
1344,3/31/2016,F S N E-Commerce Ventures Ltd.,11.93,35.77,58.44,83.22,79.29,79.29,31.59,-24.78,46.99,-56.499215148939534,-35.416435349917,47.7,-24.78,15.72,69283.84,90.47
1345,3/31/2017,F S N E-Commerce Ventures Ltd.,13.55,102.86,202.38,220.02,122.51,122.51,5.4,-34.06,159.94,-42.06,-52.05,116.41,-34.06,63.38,67868.19,228.24
1346,3/31/2018,F S N E-Commerce Ventures Ltd.,13.56,95.08,48.0,64.32,165.7,165.7,20.95,-7.85,27.94,-71.9737348972143,-55.52374015378979,108.64,-7.85,39.37,65333.3,65.63
1347,3/31/2019,F S N E-Commerce Ventures Ltd.,14.24,279.07,119.27,132.77,354.58,354.58,58.41,0.78,102.06,-56.3,-125.36,293.31,0.78,128.16,64961.01,127.26
1348,3/31/2020,F S N E-Commerce Ventures Ltd.,14.55,404.1,218.15,217.83,498.36,498.36,72.98,15.07,187.66,-90.84,74.64,418.65000000000003,15.07,181.64,65968.8,198.87
1349,3/31/2021,F S N E-Commerce Ventures Ltd.,15.06,545.76,206.05,154.03,647.28,647.28,68.94,36.19,172.06,-84.14,-67.02,560.8199999999999,36.19,238.38,64370.57,132.16
1350,3/31/2011,Fine Organic Inds. Ltd.,2.0,58.05,370.69,347.41,197.59,197.59,45.99,28.88,620.5098429487165,79.6628014139874,-46.150604865724226,60.05,28.88,74.12,14531.14,326.37
1351,3/31/2012,Fine Organic Inds. Ltd.,4.83,71.84,444.49,438.79,222.4,222.4,67.53,13.79,616.819130106368,79.31303784504858,-45.89247520463232,76.67,13.79,62.35,14564.26,423.06
1352,3/31/2014,Fine Organic Inds. Ltd.,4.83,155.35,587.76,524.13,341.32,341.32,90.25,62.61,580.75,78.22655991928265,-45.09150092486604,160.18,62.61,90.75,14619.6,470.1
1353,3/31/2015,Fine Organic Inds. Ltd.,4.83,191.53,646.8,592.65,377.78,377.78,126.11,58.85,645.89,74.74,-42.49,196.36,41.41,71.6,14789.45,534.18
1354,3/31/2016,Fine Organic Inds. Ltd.,4.83,240.35,682.61,611.28,404.85,404.85,112.7,74.98,674.44,111.27,-71.68,245.18,48.82,115.14,15339.65,535.25
1355,3/31/2017,Fine Organic Inds. Ltd.,4.83,329.83,818.85,743.68,457.47,457.47,121.52,79.97,814.44,51.4,-22.67,334.65999999999997,79.97,150.16,15391.15,672.16
1356,3/31/2018,Fine Organic Inds. Ltd.,15.33,393.13,884.03,774.62,545.08,545.08,135.54,101.34,867.65,77.1742128362966,-44.013551868880995,408.46,73.66,164.37,14880.67,695.54
1357,3/31/2019,Fine Organic Inds. Ltd.,15.33,493.11,1064.39,928.9,713.1,713.1,104.88,129.01,1047.01,129.96,-93.14,508.44,103.18,273.23,13978.65,815.35
1358,3/31/2020,Fine Organic Inds. Ltd.,15.33,615.44,1047.04,910.17,864.57,864.57,134.16,166.5,1026.51,241.66,-86.18,630.7700000000001,125.84,361.72,14400.07,822.83
1359,3/31/2021,Fine Organic Inds. Ltd.,15.33,723.5,1138.56,1012.82,957.94,957.94,156.87,114.93,1121.52,134.28,-39.19,738.83,105.73,427.72,14435.18,922.88
1360,3/31/2012,Finolex Cables Ltd.,30.59,769.84,2214.63,2103.75,1218.58,1218.58,233.79,98.19,2182.64,206.34,-30.39,800.4300000000001,83.97,295.72,5953.16,1986.09
1361,3/31/2013,Finolex Cables Ltd.,30.59,893.73,2447.7,2332.11,1410.99,1410.99,244.85,145.27,2423.53,148.95,-32.48,924.32,123.89,451.67,5871.34,2213.55
1362,3/31/2014,Finolex Cables Ltd.,30.59,1072.78,2568.87,2382.72,1572.37,1572.37,302.87,207.68,2509.95,224.39,-137.34,1103.37,179.05,493.47,5631.99,2269.27
1363,3/31/2015,Finolex Cables Ltd.,30.59,1234.22,2655.81,2405.09,1642.16,1642.16,285.14,198.66,2574.79,182.7,-186.35,1264.81,165.53,632.62,5728.34,2249.72
1364,3/31/2016,Finolex Cables Ltd.,30.59,1565.0,2647.94,2412.17,1921.38,1921.38,270.37,248.86,2574.73,275.63,-127.46,1595.59,215.73,896.64,5807.11,2229.12
1365,3/31/2017,Finolex Cables Ltd.,30.59,1846.85,2783.29,2585.74,2196.14,2196.14,276.69,315.88,2670.75,212.76,-126.11,1877.4399999999998,269.92,984.44,5514.23,2392.73
1366,3/31/2018,Finolex Cables Ltd.,30.59,2163.31,3017.11,2690.82,2494.46,2494.46,244.95,358.2,2884.23,235.68,-134.46,2193.9,302.99,1272.51,5555.52,2476.63
1367,3/31/2019,Finolex Cables Ltd.,30.59,2409.08,3222.5,2951.44,2787.92,2787.92,271.12,344.09,3077.79,154.06,-110.03,2439.67,270.34,1436.66,5426.29,2695.5
1368,3/31/2020,Finolex Cables Ltd.,30.59,2688.04,3050.78,2648.27,3036.45,3036.45,254.67,402.48,2877.3,308.8,587.26,2718.63,319.51,1771.7,5567.76,2446.37
1369,3/31/2021,Finolex Cables Ltd.,30.59,2920.12,2845.1,2716.92,3279.38,3279.38,268.14,282.89,2768.11,114.37,-859.46,2950.71,198.77,2033.35,5444.64,2539.26
1370,3/31/2012,Finolex Industries Ltd.,124.09,538.03,2352.4,2268.78,2083.81,2083.81,1137.78,75.15,2321.95,154.53,-323.53,662.12,31.78,-290.51,9567.75,2080.85
1371,3/31/2013,Finolex Industries Ltd.,124.09,597.09,2472.29,2362.43,2003.85,2003.85,1032.01,136.14,2433.42,274.39,61.89,721.1800000000001,56.82,-205.53,9614.29,2100.33
1372,3/31/2014,Finolex Industries Ltd.,124.1,665.6,2830.33,2723.09,1940.68,1940.68,799.43,170.15,2786.65,245.46,110.32,789.7,68.52,17.88,9164.44,2452.45
1373,3/31/2015,Finolex Industries Ltd.,124.1,663.31,2847.34,2745.71,1865.12,1865.12,768.26,47.78,2827.1,208.35,22.15,787.41,18.0,26.49,8950.38,2554.97
1374,3/31/2016,Finolex Industries Ltd.,124.1,1445.76,2907.26,2619.47,2375.9,2375.9,586.98,254.41,2843.12,180.28967301524088,60.092537140418116,1569.86,224.66,89.98,8882.13,2399.66
1375,3/31/2017,Finolex Industries Ltd.,124.1,2167.29,3012.89,2719.62,2991.48,2991.48,459.59,352.18,2972.02,253.79,34.69,2291.39,202.7,272.75,8587.4,2483.68
1376,3/31/2018,Finolex Industries Ltd.,124.1,2640.48,2867.63,2621.35,3514.13,3514.13,496.04,298.54,2815.96,344.18,-167.47,2764.58,126.78,334.46,8311.29,2392.83
1377,3/31/2019,Finolex Industries Ltd.,124.1,2404.33,3132.89,2854.42,3304.79,3304.79,514.39,349.8,3083.59,390.97,-227.84,2528.43,200.19,525.57,8094.12,2557.84
1378,3/31/2020,Finolex Industries Ltd.,124.1,1805.71,3018.08,2802.76,2838.68,2838.68,691.38,324.2,2976.12,106.31,49.13,1929.81,24.98,513.37,8547.07,2618.1
1379,3/31/2021,Finolex Industries Ltd.,124.1,2948.78,3537.45,2830.91,4231.05,4231.05,936.16,728.02,3451.86,940.98,-876.57,3072.88,728.02,1047.32,8466.41,2489.43
1380,3/31/2012,Firstsource Solutions Ltd.,430.78,449.32,967.08,921.72,2337.92,2337.92,1398.28,45.36,759.67,91.55,221.66,880.0999999999999,45.36,-627.91,7792.36,694.42
1381,3/31/2013,Firstsource Solutions Ltd.,657.67,574.82,1055.47,938.08,1620.65,1620.65,265.83,117.39,910.64,329.96,599.6,1232.49,117.39,-126.95,7314.92,775.43
1382,3/31/2014,Firstsource Solutions Ltd.,659.74,720.46,987.72,853.25,1769.16,1769.16,260.87,134.47,954.17,-17.37,0.39,1380.2,134.47,-11.07,7140.67,757.88
1383,3/31/2015,Firstsource Solutions Ltd.,666.29,962.03,937.37,773.62,1962.96,1962.96,205.47,163.75,914.14,50.58,-50.57,1628.32,163.75,218.89,7011.73,705.94
1384,3/31/2016,Firstsource Solutions Ltd.,673.32,1099.82,900.54,749.32,2056.49,2056.49,156.25,151.22,874.88,76.85,-21.04,1773.1399999999999,151.22,351.19,7077.94,676.34
1385,3/31/2017,Firstsource Solutions Ltd.,681.31,1318.1,957.17,768.71,2302.79,2302.79,191.58,188.46,940.07,78.34,-104.46,1999.4099999999999,188.46,504.29,6823.54,710.3
1386,3/31/2018,Firstsource Solutions Ltd.,686.52,1448.03,875.68,683.76,2249.09,2249.09,85.36,191.92,861.27,41.07,123.93,2134.55,191.92,557.79,6830.51,626.66
1387,3/31/2019,Firstsource Solutions Ltd.,691.07,1588.22,831.46,632.44,2379.76,2379.76,82.23,199.02,768.1,221.75,-106.27,2279.29,74.25,592.25,6565.65,580.87
1388,3/31/2020,Firstsource Solutions Ltd.,693.83,1371.41,970.71,788.69,2371.42,2371.42,120.47,182.02,939.91,387.64,77.23,2065.2400000000002,-194.18,335.14,6865.36,670.12
1389,3/31/2021,Firstsource Solutions Ltd.,696.1,1475.92,1357.73,991.08,2631.36,2631.36,250.77,366.65,1324.74,418.01,-147.56,2172.02,162.88,398.08,6708.54,836.75
1390,3/31/2012,Fortis Healthcare Ltd.,405.18,2801.51,585.52,384.13,4510.8,4510.8,539.37,201.39,265.43,100.5,-722.87,3206.69,201.39,-305.77,18511.57,262.42
1391,3/31/2013,Fortis Healthcare Ltd.,405.21,2795.52,543.53,526.28,4492.4,4492.4,560.27,17.25,339.38,1.46,312.25,3200.73,17.25,12.0,18451.18,343.37
1392,3/31/2014,Fortis Healthcare Ltd.,462.79,3246.79,598.55,574.56,5158.26,5158.26,165.14,23.99,357.0,-44.66,-522.43,3709.58,23.99,901.51,17809.46,429.29
1393,3/31/2015,Fortis Healthcare Ltd.,462.81,3216.7,833.38,867.29,5155.42,5155.42,866.48,-33.91,598.77,-143.9,294.06,3679.5099999999998,-33.91,-187.39,17182.85,720.95
1394,3/31/2016,Fortis Healthcare Ltd.,463.13,3267.64,796.29,836.5,5124.67,5124.67,665.02,-40.21,610.08,-761.33,394.12,3730.77,-40.21,-128.98,17643.37,729.08
1395,3/31/2017,Fortis Healthcare Ltd.,517.73,3754.15,814.31,889.01,5214.2,5214.2,736.97,-74.7,643.26,21.74,-72.5,4271.88,-74.7,-326.62,17209.27,711.82
1396,3/31/2018,Fortis Healthcare Ltd.,518.66,3708.16,806.34,870.06,5120.58,5120.58,635.94,-63.72,658.91,-14.78,172.53,4226.82,-63.72,-169.58,17160.2,684.34
1397,3/31/2019,Fortis Healthcare Ltd.,754.95,7608.28,1180.99,1057.91,10285.26,10285.26,1506.51,123.08,653.37,-61.26,-4688.01,8363.23,123.08,-946.74,17088.48,736.45
1398,3/31/2020,Fortis Healthcare Ltd.,754.96,8121.52,1640.19,1126.86,11080.89,11080.89,526.69,513.33,698.09,99.93,810.03,8876.48,513.33,-57.88,17681.12,631.37
1399,3/31/2021,Fortis Healthcare Ltd.,754.96,8126.57,888.26,884.06,11084.7,11084.7,534.22,4.2,630.31,31.94,28.4,8881.529999999999,4.2,-31.62,17303.64,582.07
1400,3/31/2012,G A I L (India) Ltd.,1268.48,20357.35,41635.66,38479.68,41836.04,41836.04,7293.39,3653.73,40939.0,4487.74,-7141.56,21625.829999999998,2371.14,-1165.28,67271.84,34957.53
1401,3/31/2013,G A I L (India) Ltd.,1268.48,22959.32,49047.1,45081.99,51240.73,51240.73,8971.36,4022.09,48134.81,5033.41,-5472.15,24227.8,2601.32,-888.14,66161.74,41162.44
1402,3/31/2014,G A I L (India) Ltd.,1268.48,25803.85,59582.13,55833.85,57012.98,57012.98,9471.33,4375.14,58200.56,4921.57,-3231.73,27072.329999999998,2831.72,19.49,65007.24,51527.86
1403,3/31/2015,G A I L (India) Ltd.,1268.48,27851.04,58425.68,55154.34,56936.93,56936.93,9994.68,3039.17,57384.72,2444.07,-964.43,29119.52,2124.53,49.95,65251.46,52167.62
1404,3/31/2016,G A I L (India) Ltd.,1268.48,33826.07,53227.14,50558.74,57660.1,57660.1,9185.17,2226.43,52195.97,4070.62,-670.88,35094.55,1386.74,260.58,65495.68,47105.55
1405,3/31/2017,G A I L (India) Ltd.,1691.3,36458.07,50603.05,47057.85,59493.72,59493.72,8432.44,3502.91,48882.99,5760.94,-830.07,38149.37,1748.78,-1780.5,61586.77,42132.26
1406,3/31/2018,G A I L (India) Ltd.,2255.07,38073.05,55008.52,50424.23,62183.48,62183.48,9979.55,4618.41,53825.49,8662.6,-2969.38,40328.12,2515.38,-1345.58,60885.42,46027.44
1407,3/31/2019,G A I L (India) Ltd.,2255.07,41837.87,76893.07,71249.85,69214.45,69214.45,9434.87,6025.67,75126.76,7876.34,-6644.64,44092.94,3935.07,-27.55,57378.7,65800.55
1408,3/31/2020,G A I L (India) Ltd.,4510.14,39460.97,73718.73,67696.72,72719.29,72719.29,11558.41,6620.63,71885.63,6888.1,-7839.45,43971.11,2678.13,-1540.82,59789.57,64217.85
1409,3/31/2021,G A I L (India) Ltd.,4440.39,42170.77,58830.31,53396.44,77420.44,77420.44,11324.19,4890.18,56737.79,8063.91,-4588.94,46611.159999999996,2652.55,-2396.32,58584.14,49508.99
1410,3/31/2013,G H C L Ltd.,100.02,967.47,2270.46,2169.26,2933.01,2933.01,1070.42,95.62,2264.89,397.68,-110.98,1067.49,72.22,-202.51,6378.92,1777.05
1411,3/31/2014,G H C L Ltd.,100.02,759.77,2375.81,2289.61,2919.98,2919.98,1160.62,96.32,2369.74,158.44,-83.11,859.79,72.92,-268.8,6349.76,1919.25
1412,3/31/2015,G H C L Ltd.,100.02,669.71,2551.99,2380.45,2863.83,2863.83,1120.35,184.31,2538.82,289.92,-127.26,769.73,157.83,-248.94,6108.89,2025.25
1413,3/31/2016,G H C L Ltd.,100.02,933.26,2716.22,2464.92,3020.37,3020.37,1098.82,256.63,2711.76,493.59,-248.61,1033.28,230.15,-263.8,6060.62,2099.29
1414,3/31/2017,G H C L Ltd.,99.47,1251.85,3023.49,2680.25,3591.74,3591.74,1289.95,386.77,2950.71,445.16,-397.62,1351.32,326.57,-246.42,6182.97,2302.31
1415,3/31/2018,G H C L Ltd.,97.42,1524.52,3062.17,2674.04,3814.92,3814.92,1163.95,364.51,2938.56,564.37,-267.58,1621.94,323.36,-105.39,5707.91,2290.19
1416,3/31/2019,G H C L Ltd.,98.03,1853.92,3509.95,3180.69,4218.27,4218.27,1256.36,361.03,3499.57,560.74,-314.1,1951.95,302.28,49.05,5645.77,2740.3
1417,3/31/2020,G H C L Ltd.,95.01,2090.55,3453.27,3060.79,4354.23,4354.23,1077.62,406.5,3419.64,628.29,-215.71,2185.5600000000004,313.05,302.33,5435.01,2693.94
1418,3/31/2021,G H C L Ltd.,95.01,2406.81,3126.32,2803.51,4104.28,4104.28,755.49,309.98,2662.04,619.69,-107.67,2501.82,309.98,420.7,5615.19,2038.56
1419,3/31/2022,G H C L Ltd.,95.35,2994.9,4773.18,4177.71,5225.03,5225.03,1412.91,633.94,3938.47,638.97,-344.14,3090.25,581.67,915.11,5234.76,2982.55
1420,3/31/2012,G M M Pfaudler Ltd.,2.92,99.6,219.71,206.02,166.26,166.26,57.69,9.14,216.83,27.63,-11.35,102.52,4.35,42.47,5871.27,194.4
1421,3/31/2013,G M M Pfaudler Ltd.,2.92,104.68,187.98,174.31,167.83,167.83,54.48,9.67,182.29,11.71,-10.52,107.60000000000001,5.08,45.75,5689.57,163.53
1422,3/31/2014,G M M Pfaudler Ltd.,2.92,113.83,217.2,211.01,192.89,192.89,71.01,14.29,214.27,16.64,-1.35,116.75,9.15,56.65,5526.66,193.69
1423,3/31/2015,G M M Pfaudler Ltd.,2.92,125.32,243.01,223.98,195.36,195.36,63.29,17.2,238.31,27.07,-14.63,128.23999999999998,11.96,65.3,5715.59,205.85
1424,3/31/2016,G M M Pfaudler Ltd.,2.92,138.41,250.17,223.46,222.88,222.88,56.78,18.36,246.91,13.81,-17.69,141.32999999999998,13.08,72.75,5697.32,206.27
1425,3/31/2017,G M M Pfaudler Ltd.,2.92,161.87,299.41,275.76,288.58,288.58,119.51,26.07,291.39,21.73,-21.39,164.79,20.79,95.9,5697.9,252.32
1426,3/31/2018,G M M Pfaudler Ltd.,2.92,182.88,324.75,313.25,338.53,338.53,146.71,28.38,317.68,39.28,-22.98,185.79999999999998,21.34,102.84,5665.01,288.19
1427,3/31/2019,G M M Pfaudler Ltd.,2.92,214.8,428.18,396.77,384.27,384.27,159.77,40.64,420.71,35.8,-8.54,217.72,32.0,130.91,5676.12,362.91
1428,3/31/2020,G M M Pfaudler Ltd.,2.92,268.16,524.9,468.47,493.87,493.87,145.15,62.12,518.78,49.99,-45.17,271.08000000000004,54.19,136.53,5757.03,423.7
1429,3/31/2021,G M M Pfaudler Ltd.,2.92,354.43,654.09,548.67,764.56,764.56,313.61,95.1,644.8,124.67,-198.66,357.35,87.79,89.77,5775.89,479.93
1430,3/31/2012,G R Infraprojects Ltd.,24.86,294.17,984.2,919.86,538.37,538.37,212.09,74.1,974.13,-1.27,-24.89,319.03000000000003,74.1,17.51,13235.76,851.66
1431,3/31/2013,G R Infraprojects Ltd.,24.86,347.5,862.89,793.34,606.66,606.66,227.0,53.33,857.05,-15.93,-4.2,372.36,53.33,35.97,13168.56,726.79
1432,3/31/2014,G R Infraprojects Ltd.,24.86,383.47,775.33,825.82,912.76,912.76,438.57,35.97,762.78,-102.31,-73.06,408.33000000000004,35.97,-39.3,11924.66,748.99
1433,3/31/2015,G R Infraprojects Ltd.,24.86,413.33,902.26,813.89,1106.1,1106.1,497.2,30.49,878.64,166.23,-116.57,438.19,30.49,-118.31,11138.57,726.38
1434,3/31/2016,G R Infraprojects Ltd.,24.24,521.35,1951.42,1920.09,1705.72,1705.72,830.94,106.07,1931.54,294.75,-314.62,545.59,106.07,-72.92,11096.51,1774.48
1435,3/31/2017,G R Infraprojects Ltd.,48.48,1090.28,3370.82,2741.61,2681.33,2681.33,1068.79,583.08,3183.45,378.27,121.69,1138.76,583.08,286.84,11297.63,2588.68
1436,3/31/2018,G R Infraprojects Ltd.,48.48,1489.49,3159.9,2898.72,2949.91,2949.91,1112.97,392.73,3111.48,-4.11,-631.73,1537.97,392.73,409.53,11297.63,2673.25
1437,3/31/2019,G R Infraprojects Ltd.,48.48,2091.94,5017.56,4421.54,4658.93,4658.93,1754.77,595.71,4955.72,651.63,-905.93,2140.42,595.71,700.7,10624.19,3939.86
1438,3/31/2020,G R Infraprojects Ltd.,48.48,2778.53,6122.52,5436.04,5244.17,5244.17,1604.18,688.77,6034.49,831.19,-319.31,2827.01,688.77,880.81,10560.37,4784.73
1439,3/31/2021,G R Infraprojects Ltd.,48.34,3556.09,7371.94,6595.7,6379.08,6379.08,2061.24,780.61,7250.55,447.45,-825.78,3604.4300000000003,780.61,693.56,10616.45,5934.69
1440,3/31/2012,Galaxy Surfactants Ltd.,35.45,197.14,1386.64,1364.0,812.21,812.21,415.51,43.64,1385.14,76.29,-134.06,232.58999999999997,33.34,-12.57,10155.3,1283.47
1441,3/31/2013,Galaxy Surfactants Ltd.,35.45,227.27,1502.75,1440.32,823.8,823.8,391.76,34.28,1499.67,76.05,-51.11,262.72,30.13,0.47,10181.9,1342.35
1442,3/31/2014,Galaxy Surfactants Ltd.,35.45,294.11,1507.31,1441.58,855.22,855.22,363.55,83.43,1501.64,134.77,-5.95,329.56,66.84,73.58,10190.94,1324.84
1443,3/31/2015,Galaxy Surfactants Ltd.,35.45,360.24,1562.66,1472.43,880.33,880.33,371.73,85.69,1555.24,51.75,-13.81,395.69,68.62,96.19,10279.57,1373.24
1444,3/31/2016,Galaxy Surfactants Ltd.,35.45,440.27,1421.29,1302.45,961.99,961.99,296.77,105.63,1414.86,197.43,-140.16,475.71999999999997,80.03,107.46,10405.79,1194.98
1445,3/31/2017,Galaxy Surfactants Ltd.,35.45,531.53,1625.45,1546.44,1106.87,1106.87,384.91,120.71,1590.36,91.4,-39.93,566.98,103.64,117.78,10296.24,1440.5
1446,3/31/2018,Galaxy Surfactants Ltd.,35.45,630.42,1731.31,1626.7,1244.19,1244.19,469.67,112.41,1695.03,102.66,-41.36,665.87,99.6,101.34,10263.62,1520.9
1447,3/31/2019,Galaxy Surfactants Ltd.,35.45,747.06,2036.61,1868.79,1313.53,1313.53,383.42,168.45,1968.83,237.91,-125.93,782.51,117.16,144.68,10463.76,1728.92
1448,3/31/2020,Galaxy Surfactants Ltd.,35.45,854.39,1800.11,1595.88,1393.54,1393.54,364.28,182.18,1769.1,212.49,-37.92,889.84,109.51,149.99,10290.92,1489.73
1449,3/31/2021,Galaxy Surfactants Ltd.,35.45,981.37,1837.72,1710.13,1561.51,1561.51,443.39,177.86,1818.94,183.71,-104.49,1016.82,128.22,210.83,10388.42,1587.33
1450,3/31/2012,Garware Technical Fibres Ltd.,23.71,226.72,584.17,566.55,575.32,575.32,258.84,24.01,581.75,51.54,-29.3,250.43,17.12,125.06,6177.0,519.92
1451,3/31/2013,Garware Technical Fibres Ltd.,23.71,242.97,608.82,580.96,563.69,563.69,248.83,24.67,604.48,33.86,0.39,266.68,17.73,136.93,6074.11,539.43
