,Company,Tone_sum,Tone_avg
0,Advance Powerinfra Tech Ltd..pdf,1.0336363636363637,0.17227272727272727
1,Anil Ltd..pdf,1.5144155844155842,0.2163450834879406
2,Aplaya Creations Ltd..pdf,0.16642857142857143,0.01512987012987013
3,Automobile Products Of India Ltd..pdf,1.8,0.9
4,B P L Engineering Ltd..pdf,1.5551680672268908,0.25919467787114847
5,B S Refrigerators Ltd..pdf,0.32629843840370154,0.04078730480046269
6,Banco Products (India) Ltd..pdf,0.37167385873268227,0.09291846468317057
7,C F L Capital Financial Services Ltd..pdf,0.12826075062917178,0.009866211586859368
8,G T C L Mobile-Com Technology Ltd..pdf,0.29999999999999993,0.09999999999999998
9,Gujarat Optical Communication Ltd..pdf,1.7015628815628816,0.17015628815628817
10,India Glycols Ltd..pdf,2.5641735019366596,0.1508337354080388
11,India Securities Ltd. [Merged].pdf,-0.045454545454545484,-0.022727272727272742
12,J B F Industries Ltd..pdf,-0.15185979655019902,-0.015185979655019902
13,J K Paper Ltd..pdf,0.640272952853598,0.09146756469337114
14,Jayant Paper Mills Ltd..pdf,0.0,
15,Jetking Infotrain Ltd..pdf,0.5972727272727272,0.19909090909090907
16,Jhagadia Copper Ltd..pdf,-0.16240601503759394,-0.08120300751879697
17,Kingfisher Airlines Ltd..pdf,0.6314652738565781,0.09020932483665402
18,Mahendra Petrochemicals Ltd..pdf,-0.16363636363636364,-0.16363636363636364
19,Micro Forge (India) Ltd..pdf,0.0,
20,Nachmo Knitex Ltd..pdf,1.0536096256684493,0.11706773618538326
21,Plethico Pharmaceuticals Ltd..pdf,1.276042422141493,0.0554801053104997
22,Polar Pharma India Ltd..pdf,0.21666666666666667,0.07222222222222223
23,Religare Enterprises Ltd..pdf,1.98443363541829,0.07349754205252926
24,Securekloud Technologies Ltd..pdf,2.8112031361647727,0.11244812544659091
25,Soundcraft Industries Ltd..pdf,-0.765502106589063,-0.03645248126614586
26,Standard Industries Ltd..pdf,-0.6104010695187163,-0.08720015278838804
27,Supreme Tex Mart Ltd..pdf,1.1236363636363635,0.2809090909090909
28,Wartsila India Pvt. Ltd..pdf,3.733242705570292,0.24888284703801947
29,Welspun India Ltd..pdf,4.01402308475838,0.1433579673127993
30,Wep Solutions Ltd..pdf,2.917933537051184,0.22445642592701415
